ID Salary Experience Employed Education Gender Department
57 23625 0 0 0 F 3
73 53205 0 25 6 M 3
9 29548 6 5 1 M 1
148 37617 2 6 6 M 4
140 49570 3 20 4 M 4
107 68718 2 25 12 M 4
146 32821 3 15 9 F 1
84 48878 4 9 6 M 4
85 37465 4 9 4 F 2
37 39743 6 9 5 F 4
106 35317 6 3 6 F 2
24 29876 0 2 3 F 2
132 26428 6 0 2 F 2
164 38886 7 18 9 M 1
136 31491 6 7 5 F 3
54 25912 3 15 9 F 1
130 41548 4 9 6 M 4
144 38873 2 8 2 F 4
47 73110 0 27 12 F 4
83 47366 6 9 5 F 4
16 35468 5 9 4 F 2
103 23720 0 0 0 F 3
99 26841 1 5 0 M 4
64 32820 6 18 5 F 1
19 36487 5 6 2 M 4
33 34987 6 9 2 F 4
100 32145 3 15 9 F 1
122 38016 4 21 5 M 1
10 34231 2 6 6 M 4
6 35487 2 8 2 F 4
155 36769 4 4 8 M 3
142 58285 5 12 8 F 4
74 59321 6 18 6 M 4
166 55084 6 18 6 M 4
104 39624 3 9 6 F 4
4 54899 5 12 8 F 4
80 21977 1 0 4 F 1
43 56326 3 12 8 M 2
150 42717 3 9 6 F 4
60 36501 6 3 6 F 2
20 37548 9 19 4 M 3
149 23845 0 0 0 F 3
152 35479 6 3 6 F 2
41 47536 5 15 6 M 3
157 39873 5 6 2 M 4
151 39898 6 6 4 F 4
15 68425 2 25 12 M 4
89 57360 3 12 8 M 2
145 29934 1 5 0 M 4
112 37614 9 19 4 M 3
