ID Salary Experience Employed Education Gender Department
97 35162 5 7 4 F 4
75 34881 16 22 7 M 1
28 51698 6 18 6 M 4
1 65487 0 27 12 F 4
77 76869 3 22 10 M 4
152 35479 6 3 6 F 2
95 32007 1 0 7 M 1
182 31616 6 7 5 F 3
148 37617 2 6 6 M 4
31 69246 3 22 10 M 4
8 32920 3 15 9 F 1
100 32145 3 15 9 F 1
16 35468 5 9 4 F 2
78 56318 19 6 8 M 4
180 36583 1 6 4 M 2
56 41854 2 6 6 M 4
13 36512 6 6 4 F 4
66 37519 9 19 4 M 3
74 59321 6 18 6 M 4
158 37739 9 19 4 M 3
82 54650 3 20 6 F 3
130 41548 4 9 6 M 4
161 49597 5 14 6 F 4
125 35280 6 9 2 F 4
140 49570 3 20 4 M 4
139 68873 0 27 12 F 4
48 53807 3 20 4 M 4
10 34231 2 6 6 M 4
146 32821 3 15 9 F 1
104 39624 3 9 6 F 4
46 26452 3 1 2 F 4
81 43254 4 6 4 M 4
18 39828 6 18 5 F 1
69 53834 5 14 6 F 4
166 55084 6 18 6 M 4
63 36549 4 4 8 M 3
154 35480 5 9 4 F 2
17 36578 4 4 8 M 3
141 32683 1 0 7 M 1
84 48878 4 9 6 M 4
184 29838 3 1 2 F 4
124 48988 19 6 8 M 4
94 46477 3 20 4 M 4
151 39898 6 6 4 F 4
72 31977 7 18 9 M 1
138 26745 3 1 2 F 4
120 51991 6 18 6 M 4
99 26841 1 5 0 M 4
12 39331 3 9 6 F 4
85 37465 4 9 4 F 2
