ID Salary Experience Employed Education Gender Department
161 49597 5 14 6 F 4
121 41114 16 22 7 M 1
97 35162 5 7 4 F 4
163 43686 9 6 4 M 2
137 23974 2 6 0 F 1
55 22540 6 5 1 M 1
98 35780 2 8 2 F 4
16 35468 5 9 4 F 2
129 40036 6 9 5 F 4
83 47366 6 9 5 F 4
32 48695 19 6 8 M 4
142 58285 5 12 8 F 4
130 41548 4 9 6 M 4
120 51991 6 18 6 M 4
81 43254 4 6 4 M 4
66 37519 9 19 4 M 3
67 24520 11 3 3 M 1
170 52081 19 6 8 M 4
21 31528 11 3 3 M 1
114 34925 4 5 4 M 4
68 42255 4 5 4 M 4
77 76869 3 22 10 M 4
96 55192 5 12 8 F 4
39 36431 4 9 4 F 2
1 65487 0 27 12 F 4
54 25912 3 15 9 F 1
100 32145 3 15 9 F 1
13 36512 6 6 4 F 4
92 34075 3 1 2 F 4
75 34881 16 22 7 M 1
38 41255 4 9 6 M 4
8 32920 3 15 9 F 1
87 47507 5 15 6 M 3
51 42492 5 7 4 F 4
14 35467 6 3 6 F 2
108 35318 5 9 4 F 2
106 35317 6 3 6 F 2
149 23845 0 0 0 F 3
22 34632 4 5 4 M 4
17 36578 4 4 8 M 3
28 51698 6 18 6 M 4
49 25774 1 0 7 M 1
177 36443 4 9 4 F 2
143 38255 5 7 4 F 4
160 38018 4 5 4 M 4
43 56326 3 12 8 M 2
63 36549 4 4 8 M 3
124 48988 19 6 8 M 4
180 36583 1 6 4 M 2
168 38692 4 21 5 M 1
