ID Salary Experience Employed Education Gender Department
146 32821 3 15 9 F 1
43 56326 3 12 8 M 2
165 53425 0 25 6 M 3
102 34524 2 6 6 M 4
42 36571 1 6 4 M 2
48 53807 3 20 4 M 4
183 24650 2 6 0 F 1
124 48988 19 6 8 M 4
133 47602 5 15 6 M 3
121 41114 16 22 7 M 1
157 39873 5 6 2 M 4
130 41548 4 9 6 M 4
110 39053 6 18 5 F 1
27 53234 0 25 6 M 3
47 73110 0 27 12 F 4
160 38018 4 5 4 M 4
105 36805 6 6 4 F 4
178 26590 6 0 2 F 2
137 23974 2 6 0 F 1
123 69539 3 22 10 M 4
88 37605 1 6 4 M 2
54 25912 3 15 9 F 1
138 26745 3 1 2 F 4
184 29838 3 1 2 F 4
58 46954 3 9 6 F 4
45 24749 2 6 0 F 1
56 41854 2 6 6 M 4
10 34231 2 6 6 M 4
7 26548 1 5 0 M 4
131 36281 4 9 4 F 2
33 34987 6 9 2 F 4
51 42492 5 7 4 F 4
69 53834 5 14 6 F 4
90 31396 6 7 5 F 3
175 43129 6 9 5 F 4
107 68718 2 25 12 M 4
159 31429 11 3 3 M 1
155 36769 4 4 8 M 3
74 59321 6 18 6 M 4
34 28985 1 0 4 F 1
39 36431 4 9 4 F 2
8 32920 3 15 9 F 1
75 34881 16 22 7 M 1
116 29726 0 2 3 F 2
151 39898 6 6 4 F 4
52 43110 2 8 2 F 4
156 39729 6 18 5 F 1
145 29934 1 5 0 M 4
31 69246 3 22 10 M 4
92 34075 3 1 2 F 4
