ID Salary Experience Employed Education Gender Department
155 36769 4 4 8 M 3
105 36805 6 6 4 F 4
157 39873 5 6 2 M 4
129 40036 6 9 5 F 4
98 35780 2 8 2 F 4
6 35487 2 8 2 F 4
142 58285 5 12 8 F 4
113 30753 11 3 3 M 1
149 23845 0 0 0 F 3
28 51698 6 18 6 M 4
183 24650 2 6 0 F 1
60 36501 6 3 6 F 2
58 46954 3 9 6 F 4
79 42610 6 9 2 F 4
24 29876 0 2 3 F 2
181 56338 3 12 8 M 2
51 42492 5 7 4 F 4
104 39624 3 9 6 F 4
67 24520 11 3 3 M 1
64 32820 6 18 5 F 1
50 62522 5 12 8 F 4
123 69539 3 22 10 M 4
82 54650 3 20 6 F 3
134 36421 1 6 4 M 2
34 28985 1 0 4 F 1
65 44110 5 6 2 M 4
114 34925 4 5 4 M 4
99 26841 1 5 0 M 4
70 30910 0 2 3 F 2
96 55192 5 12 8 F 4
148 37617 2 6 6 M 4
151 39898 6 6 4 F 4
68 42255 4 5 4 M 4
57 23625 0 0 0 F 3
49 25774 1 0 7 M 1
174 54870 3 20 6 F 3
14 35467 6 3 6 F 2
2 46184 3 20 4 M 4
84 48878 4 9 6 M 4
91 17741 2 6 0 F 1
163 43686 9 6 4 M 2
42 36571 1 6 4 M 2
164 38886 7 18 9 M 1
38 41255 4 9 6 M 4
56 41854 2 6 6 M 4
44 31425 6 7 5 F 3
106 35317 6 3 6 F 2
83 47366 6 9 5 F 4
124 48988 19 6 8 M 4
89 57360 3 12 8 M 2
