ID Salary Experience Employed Education Gender Department
25 43674 9 6 4 M 2
159 31429 11 3 3 M 1
110 39053 6 18 5 F 1
141 32683 1 0 7 M 1
86 27612 6 0 2 F 2
7 26548 1 5 0 M 4
116 29726 0 2 3 F 2
178 26590 6 0 2 F 2
175 43129 6 9 5 F 4
85 37465 4 9 4 F 2
34 28985 1 0 4 F 1
32 48695 19 6 8 M 4
132 26428 6 0 2 F 2
135 56176 3 12 8 M 2
95 32007 1 0 7 M 1
9 29548 6 5 1 M 1
163 43686 9 6 4 M 2
101 28773 6 5 1 M 1
63 36549 4 4 8 M 3
113 30753 11 3 3 M 1
18 39828 6 18 5 F 1
41 47536 5 15 6 M 3
74 59321 6 18 6 M 4
36 54679 3 20 6 F 3
103 23720 0 0 0 F 3
84 48878 4 9 6 M 4
40 26578 6 0 2 F 2
13 36512 6 6 4 F 4
42 36571 1 6 4 M 2
181 56338 3 12 8 M 2
104 39624 3 9 6 F 4
2 46184 3 20 4 M 4
99 26841 1 5 0 M 4
179 47727 5 15 6 M 3
120 51991 6 18 6 M 4
28 51698 6 18 6 M 4
50 62522 5 12 8 F 4
68 42255 4 5 4 M 4
62 36502 5 9 4 F 2
26 38985 7 18 9 M 1
156 39729 6 18 5 F 1
109 36644 4 4 8 M 3
72 31977 7 18 9 M 1
129 40036 6 9 5 F 4
8 32920 3 15 9 F 1
82 54650 3 20 6 F 3
118 38210 7 18 9 M 1
127 35924 4 6 4 M 4
126 28210 1 0 4 F 1
87 47507 5 15 6 M 3
