ID Salary Experience Employed Education Gender Department
95 32007 1 0 7 M 1
157 39873 5 6 2 M 4
76 31783 4 21 5 M 1
34 28985 1 0 4 F 1
26 38985 7 18 9 M 1
67 24520 11 3 3 M 1
66 37519 9 19 4 M 3
116 29726 0 2 3 F 2
114 34925 4 5 4 M 4
64 32820 6 18 5 F 1
45 24749 2 6 0 F 1
174 54870 3 20 6 F 3
40 26578 6 0 2 F 2
169 72632 3 22 10 M 4
156 39729 6 18 5 F 1
86 27612 6 0 2 F 2
12 39331 3 9 6 F 4
21 31528 11 3 3 M 1
74 59321 6 18 6 M 4
65 44110 5 6 2 M 4
147 29449 6 5 1 M 1
105 36805 6 6 4 F 4
23 46211 5 14 6 F 4
154 35480 5 9 4 F 2
25 43674 9 6 4 M 2
103 23720 0 0 0 F 3
139 68873 0 27 12 F 4
176 44641 4 9 6 M 4
144 38873 2 8 2 F 4
167 41790 16 22 7 M 1
39 36431 4 9 4 F 2
168 38692 4 21 5 M 1
120 51991 6 18 6 M 4
51 42492 5 7 4 F 4
17 36578 4 4 8 M 3
180 36583 1 6 4 M 2
171 38373 6 9 2 F 4
182 31616 6 7 5 F 3
9 29548 6 5 1 M 1
31 69246 3 22 10 M 4
165 53425 0 25 6 M 3
75 34881 16 22 7 M 1
57 23625 0 0 0 F 3
96 55192 5 12 8 F 4
160 38018 4 5 4 M 4
70 30910 0 2 3 F 2
33 34987 6 9 2 F 4
71 44708 9 6 4 M 2
128 54745 3 20 6 F 3
123 69539 3 22 10 M 4
