ID Salary Experience Employed Education Gender Department
68 42255 4 5 4 M 4
55 22540 6 5 1 M 1
32 48695 19 6 8 M 4
46 26452 3 1 2 F 4
40 26578 6 0 2 F 2
147 29449 6 5 1 M 1
93 65780 0 27 12 F 4
80 21977 1 0 4 F 1
71 44708 9 6 4 M 2
124 48988 19 6 8 M 4
181 56338 3 12 8 M 2
99 26841 1 5 0 M 4
57 23625 0 0 0 F 3
122 38016 4 21 5 M 1
56 41854 2 6 6 M 4
123 69539 3 22 10 M 4
112 37614 9 19 4 M 3
141 32683 1 0 7 M 1
145 29934 1 5 0 M 4
158 37739 9 19 4 M 3
91 17741 2 6 0 F 1
52 43110 2 8 2 F 4
121 41114 16 22 7 M 1
104 39624 3 9 6 F 4
17 36578 4 4 8 M 3
148 37617 2 6 6 M 4
149 23845 0 0 0 F 3
66 37519 9 19 4 M 3
61 76048 2 25 12 M 4
137 23974 2 6 0 F 1
167 41790 16 22 7 M 1
136 31491 6 7 5 F 3
21 31528 11 3 3 M 1
39 36431 4 9 4 F 2
174 54870 3 20 6 F 3
132 26428 6 0 2 F 2
120 51991 6 18 6 M 4
85 37465 4 9 4 F 2
152 35479 6 3 6 F 2
45 24749 2 6 0 F 1
51 42492 5 7 4 F 4
59 44135 6 6 4 F 4
74 59321 6 18 6 M 4
19 36487 5 6 2 M 4
79 42610 6 9 2 F 4
63 36549 4 4 8 M 3
5 34869 5 7 4 F 4
88 37605 1 6 4 M 2
60 36501 6 3 6 F 2
14 35467 6 3 6 F 2
