ID Salary Experience Employed Education Gender Department
5 34869 5 7 4 F 4
116 29726 0 2 3 F 2
129 40036 6 9 5 F 4
19 36487 5 6 2 M 4
151 39898 6 6 4 F 4
41 47536 5 15 6 M 3
9 29548 6 5 1 M 1
133 47602 5 15 6 M 3
143 38255 5 7 4 F 4
144 38873 2 8 2 F 4
117 43524 9 6 4 M 2
83 47366 6 9 5 F 4
110 39053 6 18 5 F 1
131 36281 4 9 4 F 2
124 48988 19 6 8 M 4
4 54899 5 12 8 F 4
46 26452 3 1 2 F 4
175 43129 6 9 5 F 4
34 28985 1 0 4 F 1
42 36571 1 6 4 M 2
173 39017 4 6 4 M 4
182 31616 6 7 5 F 3
59 44135 6 6 4 F 4
103 23720 0 0 0 F 3
147 29449 6 5 1 M 1
162 29888 0 2 3 F 2
97 35162 5 7 4 F 4
120 51991 6 18 6 M 4
77 76869 3 22 10 M 4
52 43110 2 8 2 F 4
22 34632 4 5 4 M 4
160 38018 4 5 4 M 4
171 38373 6 9 2 F 4
48 53807 3 20 4 M 4
45 24749 2 6 0 F 1
96 55192 5 12 8 F 4
169 72632 3 22 10 M 4
69 53834 5 14 6 F 4
44 31425 6 7 5 F 3
3 32782 1 0 7 M 1
31 69246 3 22 10 M 4
166 55084 6 18 6 M 4
150 42717 3 9 6 F 4
94 46477 3 20 4 M 4
102 34524 2 6 6 M 4
25 43674 9 6 4 M 2
87 47507 5 15 6 M 3
78 56318 19 6 8 M 4
85 37465 4 9 4 F 2
13 36512 6 6 4 F 4
