ID Salary Experience Employed Education Gender Department
99 26841 1 5 0 M 4
143 38255 5 7 4 F 4
37 39743 6 9 5 F 4
126 28210 1 0 4 F 1
112 37614 9 19 4 M 3
175 43129 6 9 5 F 4
163 43686 9 6 4 M 2
168 38692 4 21 5 M 1
101 28773 6 5 1 M 1
43 56326 3 12 8 M 2
52 43110 2 8 2 F 4
15 68425 2 25 12 M 4
68 42255 4 5 4 M 4
77 76869 3 22 10 M 4
127 35924 4 6 4 M 4
45 24749 2 6 0 F 1
131 36281 4 9 4 F 2
135 56176 3 12 8 M 2
154 35480 5 9 4 F 2
148 37617 2 6 6 M 4
124 48988 19 6 8 M 4
93 65780 0 27 12 F 4
145 29934 1 5 0 M 4
22 34632 4 5 4 M 4
177 36443 4 9 4 F 2
81 43254 4 6 4 M 4
162 29888 0 2 3 F 2
36 54679 3 20 6 F 3
105 36805 6 6 4 F 4
140 49570 3 20 4 M 4
78 56318 19 6 8 M 4
41 47536 5 15 6 M 3
123 69539 3 22 10 M 4
21 31528 11 3 3 M 1
56 41854 2 6 6 M 4
79 42610 6 9 2 F 4
137 23974 2 6 0 F 1
10 34231 2 6 6 M 4
30 38791 4 21 5 M 1
46 26452 3 1 2 F 4
95 32007 1 0 7 M 1
64 32820 6 18 5 F 1
72 31977 7 18 9 M 1
128 54745 3 20 6 F 3
76 31783 4 21 5 M 1
96 55192 5 12 8 F 4
147 29449 6 5 1 M 1
51 42492 5 7 4 F 4
182 31616 6 7 5 F 3
150 42717 3 9 6 F 4
