ID Salary Experience Employed Education Gender Department
8 32920 3 15 9 F 1
160 38018 4 5 4 M 4
79 42610 6 9 2 F 4
117 43524 9 6 4 M 2
92 34075 3 1 2 F 4
60 36501 6 3 6 F 2
132 26428 6 0 2 F 2
179 47727 5 15 6 M 3
141 32683 1 0 7 M 1
163 43686 9 6 4 M 2
109 36644 4 4 8 M 3
10 34231 2 6 6 M 4
70 30910 0 2 3 F 2
112 37614 9 19 4 M 3
65 44110 5 6 2 M 4
127 35924 4 6 4 M 4
85 37465 4 9 4 F 2
14 35467 6 3 6 F 2
93 65780 0 27 12 F 4
17 36578 4 4 8 M 3
94 46477 3 20 4 M 4
86 27612 6 0 2 F 2
73 53205 0 25 6 M 3
121 41114 16 22 7 M 1
41 47536 5 15 6 M 3
113 30753 11 3 3 M 1
82 54650 3 20 6 F 3
116 29726 0 2 3 F 2
91 17741 2 6 0 F 1
98 35780 2 8 2 F 4
165 53425 0 25 6 M 3
53 34171 1 5 0 M 4
167 41790 16 22 7 M 1
30 38791 4 21 5 M 1
153 71811 2 25 12 M 4
162 29888 0 2 3 F 2
146 32821 3 15 9 F 1
168 38692 4 21 5 M 1
151 39898 6 6 4 F 4
31 69246 3 22 10 M 4
38 41255 4 9 6 M 4
54 25912 3 15 9 F 1
42 36571 1 6 4 M 2
139 68873 0 27 12 F 4
100 32145 3 15 9 F 1
71 44708 9 6 4 M 2
124 48988 19 6 8 M 4
16 35468 5 9 4 F 2
9 29548 6 5 1 M 1
77 76869 3 22 10 M 4
