ID Salary Experience Employed Education Gender Department
71 44708 9 6 4 M 2
176 44641 4 9 6 M 4
123 69539 3 22 10 M 4
9 29548 6 5 1 M 1
39 36431 4 9 4 F 2
1 65487 0 27 12 F 4
75 34881 16 22 7 M 1
94 46477 3 20 4 M 4
6 35487 2 8 2 F 4
85 37465 4 9 4 F 2
115 46504 5 14 6 F 4
116 29726 0 2 3 F 2
132 26428 6 0 2 F 2
45 24749 2 6 0 F 1
89 57360 3 12 8 M 2
138 26745 3 1 2 F 4
113 30753 11 3 3 M 1
51 42492 5 7 4 F 4
70 30910 0 2 3 F 2
77 76869 3 22 10 M 4
167 41790 16 22 7 M 1
112 37614 9 19 4 M 3
84 48878 4 9 6 M 4
33 34987 6 9 2 F 4
31 69246 3 22 10 M 4
82 54650 3 20 6 F 3
163 43686 9 6 4 M 2
154 35480 5 9 4 F 2
133 47602 5 15 6 M 3
97 35162 5 7 4 F 4
140 49570 3 20 4 M 4
48 53807 3 20 4 M 4
91 17741 2 6 0 F 1
114 34925 4 5 4 M 4
69 53834 5 14 6 F 4
174 54870 3 20 6 F 3
83 47366 6 9 5 F 4
172 28886 1 0 4 F 1
135 56176 3 12 8 M 2
127 35924 4 6 4 M 4
12 39331 3 9 6 F 4
25 43674 9 6 4 M 2
66 37519 9 19 4 M 3
184 29838 3 1 2 F 4
14 35467 6 3 6 F 2
152 35479 6 3 6 F 2
98 35780 2 8 2 F 4
170 52081 19 6 8 M 4
65 44110 5 6 2 M 4
74 59321 6 18 6 M 4
