ID Salary Experience Employed Education Gender Department
140 49570 3 20 4 M 4
82 54650 3 20 6 F 3
17 36578 4 4 8 M 3
107 68718 2 25 12 M 4
84 48878 4 9 6 M 4
6 35487 2 8 2 F 4
105 36805 6 6 4 F 4
90 31396 6 7 5 F 3
19 36487 5 6 2 M 4
1 65487 0 27 12 F 4
180 36583 1 6 4 M 2
70 30910 0 2 3 F 2
182 31616 6 7 5 F 3
86 27612 6 0 2 F 2
12 39331 3 9 6 F 4
64 32820 6 18 5 F 1
53 34171 1 5 0 M 4
2 46184 3 20 4 M 4
157 39873 5 6 2 M 4
94 46477 3 20 4 M 4
26 38985 7 18 9 M 1
68 42255 4 5 4 M 4
60 36501 6 3 6 F 2
55 22540 6 5 1 M 1
133 47602 5 15 6 M 3
14 35467 6 3 6 F 2
28 51698 6 18 6 M 4
89 57360 3 12 8 M 2
164 38886 7 18 9 M 1
166 55084 6 18 6 M 4
15 68425 2 25 12 M 4
141 32683 1 0 7 M 1
103 23720 0 0 0 F 3
138 26745 3 1 2 F 4
78 56318 19 6 8 M 4
181 56338 3 12 8 M 2
50 62522 5 12 8 F 4
32 48695 19 6 8 M 4
87 47507 5 15 6 M 3
31 69246 3 22 10 M 4
167 41790 16 22 7 M 1
80 21977 1 0 4 F 1
7 26548 1 5 0 M 4
34 28985 1 0 4 F 1
104 39624 3 9 6 F 4
156 39729 6 18 5 F 1
101 28773 6 5 1 M 1
171 38373 6 9 2 F 4
145 29934 1 5 0 M 4
159 31429 11 3 3 M 1
