ID Salary Experience Employed Education Gender Department
21 31528 11 3 3 M 1
38 41255 4 9 6 M 4
79 42610 6 9 2 F 4
167 41790 16 22 7 M 1
73 53205 0 25 6 M 3
166 55084 6 18 6 M 4
95 32007 1 0 7 M 1
71 44708 9 6 4 M 2
148 37617 2 6 6 M 4
106 35317 6 3 6 F 2
102 34524 2 6 6 M 4
160 38018 4 5 4 M 4
1 65487 0 27 12 F 4
147 29449 6 5 1 M 1
68 42255 4 5 4 M 4
58 46954 3 9 6 F 4
78 56318 19 6 8 M 4
67 24520 11 3 3 M 1
152 35479 6 3 6 F 2
35 35631 4 6 4 M 4
94 46477 3 20 4 M 4
88 37605 1 6 4 M 2
117 43524 9 6 4 M 2
169 72632 3 22 10 M 4
142 58285 5 12 8 F 4
135 56176 3 12 8 M 2
44 31425 6 7 5 F 3
137 23974 2 6 0 F 1
72 31977 7 18 9 M 1
181 56338 3 12 8 M 2
122 38016 4 21 5 M 1
121 41114 16 22 7 M 1
172 28886 1 0 4 F 1
126 28210 1 0 4 F 1
111 36780 5 6 2 M 4
108 35318 5 9 4 F 2
52 43110 2 8 2 F 4
176 44641 4 9 6 M 4
93 65780 0 27 12 F 4
3 32782 1 0 7 M 1
154 35480 5 9 4 F 2
119 53300 0 25 6 M 3
162 29888 0 2 3 F 2
174 54870 3 20 6 F 3
125 35280 6 9 2 F 4
89 57360 3 12 8 M 2
81 43254 4 6 4 M 4
180 36583 1 6 4 M 2
48 53807 3 20 4 M 4
63 36549 4 4 8 M 3
