ID Salary Experience Employed Education Gender Department
49 25774 1 0 7 M 1
35 35631 4 6 4 M 4
63 36549 4 4 8 M 3
135 56176 3 12 8 M 2
67 24520 11 3 3 M 1
140 49570 3 20 4 M 4
14 35467 6 3 6 F 2
13 36512 6 6 4 F 4
144 38873 2 8 2 F 4
95 32007 1 0 7 M 1
159 31429 11 3 3 M 1
98 35780 2 8 2 F 4
176 44641 4 9 6 M 4
117 43524 9 6 4 M 2
19 36487 5 6 2 M 4
184 29838 3 1 2 F 4
165 53425 0 25 6 M 3
108 35318 5 9 4 F 2
153 71811 2 25 12 M 4
85 37465 4 9 4 F 2
58 46954 3 9 6 F 4
152 35479 6 3 6 F 2
170 52081 19 6 8 M 4
131 36281 4 9 4 F 2
16 35468 5 9 4 F 2
112 37614 9 19 4 M 3
102 34524 2 6 6 M 4
111 36780 5 6 2 M 4
177 36443 4 9 4 F 2
56 41854 2 6 6 M 4
171 38373 6 9 2 F 4
121 41114 16 22 7 M 1
97 35162 5 7 4 F 4
163 43686 9 6 4 M 2
34 28985 1 0 4 F 1
51 42492 5 7 4 F 4
65 44110 5 6 2 M 4
24 29876 0 2 3 F 2
23 46211 5 14 6 F 4
90 31396 6 7 5 F 3
161 49597 5 14 6 F 4
30 38791 4 21 5 M 1
122 38016 4 21 5 M 1
82 54650 3 20 6 F 3
141 32683 1 0 7 M 1
41 47536 5 15 6 M 3
47 73110 0 27 12 F 4
124 48988 19 6 8 M 4
25 43674 9 6 4 M 2
166 55084 6 18 6 M 4
