ID Salary Experience Employed Education Gender Department
124 48988 19 6 8 M 4
168 38692 4 21 5 M 1
62 36502 5 9 4 F 2
75 34881 16 22 7 M 1
50 62522 5 12 8 F 4
18 39828 6 18 5 F 1
106 35317 6 3 6 F 2
132 26428 6 0 2 F 2
138 26745 3 1 2 F 4
176 44641 4 9 6 M 4
72 31977 7 18 9 M 1
14 35467 6 3 6 F 2
48 53807 3 20 4 M 4
42 36571 1 6 4 M 2
44 31425 6 7 5 F 3
101 28773 6 5 1 M 1
137 23974 2 6 0 F 1
26 38985 7 18 9 M 1
1 65487 0 27 12 F 4
113 30753 11 3 3 M 1
181 56338 3 12 8 M 2
70 30910 0 2 3 F 2
164 38886 7 18 9 M 1
77 76869 3 22 10 M 4
122 38016 4 21 5 M 1
11 23654 0 0 0 F 3
160 38018 4 5 4 M 4
117 43524 9 6 4 M 2
24 29876 0 2 3 F 2
68 42255 4 5 4 M 4
158 37739 9 19 4 M 3
128 54745 3 20 6 F 3
89 57360 3 12 8 M 2
183 24650 2 6 0 F 1
179 47727 5 15 6 M 3
37 39743 6 9 5 F 4
151 39898 6 6 4 F 4
92 34075 3 1 2 F 4
22 34632 4 5 4 M 4
131 36281 4 9 4 F 2
178 26590 6 0 2 F 2
33 34987 6 9 2 F 4
43 56326 3 12 8 M 2
96 55192 5 12 8 F 4
136 31491 6 7 5 F 3
102 34524 2 6 6 M 4
152 35479 6 3 6 F 2
112 37614 9 19 4 M 3
76 31783 4 21 5 M 1
51 42492 5 7 4 F 4
