ID Salary Experience Employed Education Gender Department
72 31977 7 18 9 M 1
147 29449 6 5 1 M 1
33 34987 6 9 2 F 4
160 38018 4 5 4 M 4
92 34075 3 1 2 F 4
163 43686 9 6 4 M 2
169 72632 3 22 10 M 4
3 32782 1 0 7 M 1
179 47727 5 15 6 M 3
114 34925 4 5 4 M 4
95 32007 1 0 7 M 1
49 25774 1 0 7 M 1
130 41548 4 9 6 M 4
172 28886 1 0 4 F 1
118 38210 7 18 9 M 1
184 29838 3 1 2 F 4
101 28773 6 5 1 M 1
127 35924 4 6 4 M 4
166 55084 6 18 6 M 4
83 47366 6 9 5 F 4
16 35468 5 9 4 F 2
136 31491 6 7 5 F 3
145 29934 1 5 0 M 4
68 42255 4 5 4 M 4
148 37617 2 6 6 M 4
23 46211 5 14 6 F 4
144 38873 2 8 2 F 4
39 36431 4 9 4 F 2
89 57360 3 12 8 M 2
139 68873 0 27 12 F 4
73 53205 0 25 6 M 3
12 39331 3 9 6 F 4
78 56318 19 6 8 M 4
146 32821 3 15 9 F 1
180 36583 1 6 4 M 2
45 24749 2 6 0 F 1
86 27612 6 0 2 F 2
69 53834 5 14 6 F 4
112 37614 9 19 4 M 3
82 54650 3 20 6 F 3
26 38985 7 18 9 M 1
99 26841 1 5 0 M 4
21 31528 11 3 3 M 1
168 38692 4 21 5 M 1
8 32920 3 15 9 F 1
70 30910 0 2 3 F 2
143 38255 5 7 4 F 4
153 71811 2 25 12 M 4
171 38373 6 9 2 F 4
18 39828 6 18 5 F 1
