ID Salary Experience Employed Education Gender Department
165 53425 0 25 6 M 3
140 49570 3 20 4 M 4
86 27612 6 0 2 F 2
95 32007 1 0 7 M 1
179 47727 5 15 6 M 3
108 35318 5 9 4 F 2
111 36780 5 6 2 M 4
12 39331 3 9 6 F 4
114 34925 4 5 4 M 4
137 23974 2 6 0 F 1
104 39624 3 9 6 F 4
39 36431 4 9 4 F 2
129 40036 6 9 5 F 4
116 29726 0 2 3 F 2
75 34881 16 22 7 M 1
158 37739 9 19 4 M 3
177 36443 4 9 4 F 2
166 55084 6 18 6 M 4
130 41548 4 9 6 M 4
157 39873 5 6 2 M 4
142 58285 5 12 8 F 4
100 32145 3 15 9 F 1
144 38873 2 8 2 F 4
60 36501 6 3 6 F 2
52 43110 2 8 2 F 4
64 32820 6 18 5 F 1
16 35468 5 9 4 F 2
170 52081 19 6 8 M 4
149 23845 0 0 0 F 3
28 51698 6 18 6 M 4
66 37519 9 19 4 M 3
147 29449 6 5 1 M 1
83 47366 6 9 5 F 4
6 35487 2 8 2 F 4
8 32920 3 15 9 F 1
19 36487 5 6 2 M 4
106 35317 6 3 6 F 2
123 69539 3 22 10 M 4
124 48988 19 6 8 M 4
43 56326 3 12 8 M 2
25 43674 9 6 4 M 2
146 32821 3 15 9 F 1
154 35480 5 9 4 F 2
93 65780 0 27 12 F 4
145 29934 1 5 0 M 4
59 44135 6 6 4 F 4
105 36805 6 6 4 F 4
119 53300 0 25 6 M 3
72 31977 7 18 9 M 1
96 55192 5 12 8 F 4
