ID Salary Experience Employed Education Gender Department
140 49570 3 20 4 M 4
68 42255 4 5 4 M 4
169 72632 3 22 10 M 4
133 47602 5 15 6 M 3
155 36769 4 4 8 M 3
172 28886 1 0 4 F 1
24 29876 0 2 3 F 2
38 41255 4 9 6 M 4
15 68425 2 25 12 M 4
127 35924 4 6 4 M 4
3 32782 1 0 7 M 1
17 36578 4 4 8 M 3
110 39053 6 18 5 F 1
19 36487 5 6 2 M 4
141 32683 1 0 7 M 1
118 38210 7 18 9 M 1
58 46954 3 9 6 F 4
152 35479 6 3 6 F 2
43 56326 3 12 8 M 2
70 30910 0 2 3 F 2
175 43129 6 9 5 F 4
59 44135 6 6 4 F 4
31 69246 3 22 10 M 4
1 65487 0 27 12 F 4
47 73110 0 27 12 F 4
138 26745 3 1 2 F 4
158 37739 9 19 4 M 3
61 76048 2 25 12 M 4
144 38873 2 8 2 F 4
92 34075 3 1 2 F 4
5 34869 5 7 4 F 4
124 48988 19 6 8 M 4
45 24749 2 6 0 F 1
63 36549 4 4 8 M 3
42 36571 1 6 4 M 2
131 36281 4 9 4 F 2
154 35480 5 9 4 F 2
54 25912 3 15 9 F 1
79 42610 6 9 2 F 4
82 54650 3 20 6 F 3
50 62522 5 12 8 F 4
135 56176 3 12 8 M 2
117 43524 9 6 4 M 2
6 35487 2 8 2 F 4
93 65780 0 27 12 F 4
23 46211 5 14 6 F 4
180 36583 1 6 4 M 2
91 17741 2 6 0 F 1
34 28985 1 0 4 F 1
167 41790 16 22 7 M 1
