ID Salary Experience Employed Education Gender Department
50 62522 5 12 8 F 4
5 34869 5 7 4 F 4
84 48878 4 9 6 M 4
122 38016 4 21 5 M 1
67 24520 11 3 3 M 1
17 36578 4 4 8 M 3
97 35162 5 7 4 F 4
180 36583 1 6 4 M 2
48 53807 3 20 4 M 4
6 35487 2 8 2 F 4
89 57360 3 12 8 M 2
38 41255 4 9 6 M 4
43 56326 3 12 8 M 2
19 36487 5 6 2 M 4
57 23625 0 0 0 F 3
113 30753 11 3 3 M 1
173 39017 4 6 4 M 4
64 32820 6 18 5 F 1
132 26428 6 0 2 F 2
146 32821 3 15 9 F 1
1 65487 0 27 12 F 4
47 73110 0 27 12 F 4
45 24749 2 6 0 F 1
156 39729 6 18 5 F 1
71 44708 9 6 4 M 2
179 47727 5 15 6 M 3
98 35780 2 8 2 F 4
16 35468 5 9 4 F 2
65 44110 5 6 2 M 4
62 36502 5 9 4 F 2
74 59321 6 18 6 M 4
73 53205 0 25 6 M 3
49 25774 1 0 7 M 1
24 29876 0 2 3 F 2
109 36644 4 4 8 M 3
55 22540 6 5 1 M 1
75 34881 16 22 7 M 1
151 39898 6 6 4 F 4
160 38018 4 5 4 M 4
165 53425 0 25 6 M 3
18 39828 6 18 5 F 1
182 31616 6 7 5 F 3
20 37548 9 19 4 M 3
58 46954 3 9 6 F 4
96 55192 5 12 8 F 4
147 29449 6 5 1 M 1
87 47507 5 15 6 M 3
79 42610 6 9 2 F 4
125 35280 6 9 2 F 4
141 32683 1 0 7 M 1
