ID Salary Experience Employed Education Gender Department
25 43674 9 6 4 M 2
110 39053 6 18 5 F 1
81 43254 4 6 4 M 4
141 32683 1 0 7 M 1
129 40036 6 9 5 F 4
108 35318 5 9 4 F 2
46 26452 3 1 2 F 4
107 68718 2 25 12 M 4
165 53425 0 25 6 M 3
183 24650 2 6 0 F 1
104 39624 3 9 6 F 4
57 23625 0 0 0 F 3
71 44708 9 6 4 M 2
60 36501 6 3 6 F 2
153 71811 2 25 12 M 4
41 47536 5 15 6 M 3
99 26841 1 5 0 M 4
146 32821 3 15 9 F 1
131 36281 4 9 4 F 2
105 36805 6 6 4 F 4
39 36431 4 9 4 F 2
54 25912 3 15 9 F 1
64 32820 6 18 5 F 1
44 31425 6 7 5 F 3
13 36512 6 6 4 F 4
3 32782 1 0 7 M 1
102 34524 2 6 6 M 4
113 30753 11 3 3 M 1
1 65487 0 27 12 F 4
115 46504 5 14 6 F 4
87 47507 5 15 6 M 3
155 36769 4 4 8 M 3
120 51991 6 18 6 M 4
79 42610 6 9 2 F 4
101 28773 6 5 1 M 1
91 17741 2 6 0 F 1
184 29838 3 1 2 F 4
21 31528 11 3 3 M 1
145 29934 1 5 0 M 4
169 72632 3 22 10 M 4
98 35780 2 8 2 F 4
78 56318 19 6 8 M 4
74 59321 6 18 6 M 4
11 23654 0 0 0 F 3
95 32007 1 0 7 M 1
55 22540 6 5 1 M 1
132 26428 6 0 2 F 2
134 36421 1 6 4 M 2
161 49597 5 14 6 F 4
133 47602 5 15 6 M 3
