ID Salary Experience Employed Education Gender Department
51 42492 5 7 4 F 4
72 31977 7 18 9 M 1
46 26452 3 1 2 F 4
85 37465 4 9 4 F 2
158 37739 9 19 4 M 3
137 23974 2 6 0 F 1
38 41255 4 9 6 M 4
114 34925 4 5 4 M 4
11 23654 0 0 0 F 3
91 17741 2 6 0 F 1
144 38873 2 8 2 F 4
33 34987 6 9 2 F 4
82 54650 3 20 6 F 3
169 72632 3 22 10 M 4
77 76869 3 22 10 M 4
156 39729 6 18 5 F 1
90 31396 6 7 5 F 3
81 43254 4 6 4 M 4
134 36421 1 6 4 M 2
136 31491 6 7 5 F 3
180 36583 1 6 4 M 2
97 35162 5 7 4 F 4
157 39873 5 6 2 M 4
65 44110 5 6 2 M 4
112 37614 9 19 4 M 3
111 36780 5 6 2 M 4
140 49570 3 20 4 M 4
184 29838 3 1 2 F 4
152 35479 6 3 6 F 2
63 36549 4 4 8 M 3
54 25912 3 15 9 F 1
182 31616 6 7 5 F 3
71 44708 9 6 4 M 2
23 46211 5 14 6 F 4
25 43674 9 6 4 M 2
5 34869 5 7 4 F 4
47 73110 0 27 12 F 4
28 51698 6 18 6 M 4
121 41114 16 22 7 M 1
75 34881 16 22 7 M 1
50 62522 5 12 8 F 4
183 24650 2 6 0 F 1
67 24520 11 3 3 M 1
133 47602 5 15 6 M 3
164 38886 7 18 9 M 1
13 36512 6 6 4 F 4
14 35467 6 3 6 F 2
135 56176 3 12 8 M 2
94 46477 3 20 4 M 4
58 46954 3 9 6 F 4
