ID Salary Experience Employed Education Gender Department
166 55084 6 18 6 M 4
29 41889 16 22 7 M 1
99 26841 1 5 0 M 4
63 36549 4 4 8 M 3
178 26590 6 0 2 F 2
64 32820 6 18 5 F 1
77 76869 3 22 10 M 4
139 68873 0 27 12 F 4
142 58285 5 12 8 F 4
103 23720 0 0 0 F 3
78 56318 19 6 8 M 4
147 29449 6 5 1 M 1
62 36502 5 9 4 F 2
114 34925 4 5 4 M 4
152 35479 6 3 6 F 2
27 53234 0 25 6 M 3
25 43674 9 6 4 M 2
113 30753 11 3 3 M 1
144 38873 2 8 2 F 4
169 72632 3 22 10 M 4
1 65487 0 27 12 F 4
23 46211 5 14 6 F 4
137 23974 2 6 0 F 1
59 44135 6 6 4 F 4
156 39729 6 18 5 F 1
19 36487 5 6 2 M 4
138 26745 3 1 2 F 4
163 43686 9 6 4 M 2
184 29838 3 1 2 F 4
43 56326 3 12 8 M 2
73 53205 0 25 6 M 3
170 52081 19 6 8 M 4
102 34524 2 6 6 M 4
104 39624 3 9 6 F 4
148 37617 2 6 6 M 4
112 37614 9 19 4 M 3
95 32007 1 0 7 M 1
165 53425 0 25 6 M 3
183 24650 2 6 0 F 1
92 34075 3 1 2 F 4
54 25912 3 15 9 F 1
140 49570 3 20 4 M 4
158 37739 9 19 4 M 3
150 42717 3 9 6 F 4
130 41548 4 9 6 M 4
50 62522 5 12 8 F 4
32 48695 19 6 8 M 4
127 35924 4 6 4 M 4
89 57360 3 12 8 M 2
124 48988 19 6 8 M 4
