ID Salary Experience Employed Education Gender Department
77 76869 3 22 10 M 4
152 35479 6 3 6 F 2
74 59321 6 18 6 M 4
36 54679 3 20 6 F 3
117 43524 9 6 4 M 2
58 46954 3 9 6 F 4
112 37614 9 19 4 M 3
153 71811 2 25 12 M 4
103 23720 0 0 0 F 3
45 24749 2 6 0 F 1
98 35780 2 8 2 F 4
116 29726 0 2 3 F 2
73 53205 0 25 6 M 3
183 24650 2 6 0 F 1
172 28886 1 0 4 F 1
164 38886 7 18 9 M 1
118 38210 7 18 9 M 1
175 43129 6 9 5 F 4
120 51991 6 18 6 M 4
94 46477 3 20 4 M 4
9 29548 6 5 1 M 1
34 28985 1 0 4 F 1
86 27612 6 0 2 F 2
11 23654 0 0 0 F 3
166 55084 6 18 6 M 4
159 31429 11 3 3 M 1
2 46184 3 20 4 M 4
137 23974 2 6 0 F 1
65 44110 5 6 2 M 4
10 34231 2 6 6 M 4
173 39017 4 6 4 M 4
102 34524 2 6 6 M 4
150 42717 3 9 6 F 4
50 62522 5 12 8 F 4
46 26452 3 1 2 F 4
123 69539 3 22 10 M 4
84 48878 4 9 6 M 4
55 22540 6 5 1 M 1
76 31783 4 21 5 M 1
64 32820 6 18 5 F 1
154 35480 5 9 4 F 2
140 49570 3 20 4 M 4
176 44641 4 9 6 M 4
131 36281 4 9 4 F 2
125 35280 6 9 2 F 4
139 68873 0 27 12 F 4
130 41548 4 9 6 M 4
31 69246 3 22 10 M 4
134 36421 1 6 4 M 2
49 25774 1 0 7 M 1
