ID Salary Experience Employed Education Gender Department
18 39828 6 18 5 F 1
55 22540 6 5 1 M 1
63 36549 4 4 8 M 3
147 29449 6 5 1 M 1
119 53300 0 25 6 M 3
11 23654 0 0 0 F 3
40 26578 6 0 2 F 2
9 29548 6 5 1 M 1
120 51991 6 18 6 M 4
91 17741 2 6 0 F 1
169 72632 3 22 10 M 4
62 36502 5 9 4 F 2
148 37617 2 6 6 M 4
72 31977 7 18 9 M 1
47 73110 0 27 12 F 4
65 44110 5 6 2 M 4
171 38373 6 9 2 F 4
21 31528 11 3 3 M 1
115 46504 5 14 6 F 4
112 37614 9 19 4 M 3
19 36487 5 6 2 M 4
123 69539 3 22 10 M 4
67 24520 11 3 3 M 1
3 32782 1 0 7 M 1
138 26745 3 1 2 F 4
114 34925 4 5 4 M 4
117 43524 9 6 4 M 2
129 40036 6 9 5 F 4
170 52081 19 6 8 M 4
178 26590 6 0 2 F 2
80 21977 1 0 4 F 1
131 36281 4 9 4 F 2
94 46477 3 20 4 M 4
82 54650 3 20 6 F 3
84 48878 4 9 6 M 4
154 35480 5 9 4 F 2
83 47366 6 9 5 F 4
24 29876 0 2 3 F 2
135 56176 3 12 8 M 2
153 71811 2 25 12 M 4
66 37519 9 19 4 M 3
103 23720 0 0 0 F 3
165 53425 0 25 6 M 3
172 28886 1 0 4 F 1
104 39624 3 9 6 F 4
61 76048 2 25 12 M 4
27 53234 0 25 6 M 3
4 54899 5 12 8 F 4
53 34171 1 5 0 M 4
79 42610 6 9 2 F 4
