ID Salary Experience Employed Education Gender Department
5 34869 5 7 4 F 4
59 44135 6 6 4 F 4
139 68873 0 27 12 F 4
18 39828 6 18 5 F 1
40 26578 6 0 2 F 2
127 35924 4 6 4 M 4
113 30753 11 3 3 M 1
119 53300 0 25 6 M 3
172 28886 1 0 4 F 1
7 26548 1 5 0 M 4
97 35162 5 7 4 F 4
11 23654 0 0 0 F 3
130 41548 4 9 6 M 4
166 55084 6 18 6 M 4
48 53807 3 20 4 M 4
179 47727 5 15 6 M 3
138 26745 3 1 2 F 4
128 54745 3 20 6 F 3
151 39898 6 6 4 F 4
149 23845 0 0 0 F 3
159 31429 11 3 3 M 1
109 36644 4 4 8 M 3
27 53234 0 25 6 M 3
126 28210 1 0 4 F 1
103 23720 0 0 0 F 3
165 53425 0 25 6 M 3
55 22540 6 5 1 M 1
74 59321 6 18 6 M 4
168 38692 4 21 5 M 1
46 26452 3 1 2 F 4
51 42492 5 7 4 F 4
104 39624 3 9 6 F 4
61 76048 2 25 12 M 4
114 34925 4 5 4 M 4
137 23974 2 6 0 F 1
14 35467 6 3 6 F 2
180 36583 1 6 4 M 2
99 26841 1 5 0 M 4
107 68718 2 25 12 M 4
16 35468 5 9 4 F 2
134 36421 1 6 4 M 2
64 32820 6 18 5 F 1
183 24650 2 6 0 F 1
122 38016 4 21 5 M 1
112 37614 9 19 4 M 3
141 32683 1 0 7 M 1
69 53834 5 14 6 F 4
52 43110 2 8 2 F 4
30 38791 4 21 5 M 1
90 31396 6 7 5 F 3
