X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.16 1.5 -0.81 1.04 0.41 -0.21 -4.34 1.63
-0.81 -1.14 -0.41 -0.29 -0.46 -0.56 1.69 -1.4
0.9 -0.16 -2.75 0 0.2 -7.59 -3.61 -6.29
0.34 -0.54 -0.48 0.79 0.26 -4.51 -1.93 -0.37
0.1 1 0.37 0.53 2.76 1.14 -5.14 1.83
1.33 0.16 0.66 -1.23 -1.02 5.17 5.13 1.71
-1.46 1.94 0.04 -0.39 0.75 3.21 -1.97 1.89
0.1 1.06 -0.82 0.73 0.73 -1.6 -3.29 -0.82
1.3 -1.71 0.46 -0.09 -0.5 -3.47 1.55 3.06
0.18 -0.13 -0.76 0.1 0.01 -1.71 -1.06 -0.3
2.25 -0.4 -1.08 1.58 -0.55 -4.84 -1.61 0.56
0.41 -0.36 -0.6 0.59 1.39 -4.34 -4.38 -1.21
-0.31 0.83 1.59 -0.64 0.33 5.76 1.63 2.77
0.41 -0.97 0.29 0.25 -0.89 -0.19 1.07 -2.24
-0.15 -0.54 -0.84 -1.1 0.74 -3.03 -0.11 -1.88
1.14 2.07 0.39 1.76 -1.75 3.28 -0.19 2.51
0.95 0.08 -0.7 0.22 1.05 -3.38 -1.85 -1.88
1.12 -0.35 -0.85 -0.85 -1.63 0.16 4.45 1.69
2.5 -0.53 0.3 0.01 -0.63 -0.36 2.59 4.75
-1.2 0.48 0.98 0.1 -0.15 2.51 1.25 1.38
0 0.34 -0.55 -0.41 0.22 0.03 -0.53 2.91
1.36 -0.03 0.71 0.21 -0.64 1.51 2.61 4.23
-0.34 1.81 -1.07 -0.65 -0.88 0.96 0.55 3.66
1.49 1.99 -0.47 1.43 0.1 -0.86 -3.7 1.03
1.02 0.3 0.78 -0.71 -0.66 3.23 4.22 1.07
1.03 -0.22 1.2 0.75 -0.41 1.36 0.85 2.38
0.15 1 -2.06 2.34 1.75 -5.71 -10.11 -5.38
-0.47 -1.29 0.67 -1.72 1.33 0.02 1.98 1.33
-2.12 -1.23 1.69 -0.42 -1.5 4.4 5.61 0.08
-1.94 -0.71 -0.55 -0.18 0.03 -1.93 -0.64 -7.6
1.44 0.49 0.48 -0.19 0.62 1.49 -0.19 0.2
-1.39 1.33 -1.2 -0.35 2.47 -0.91 -6.44 -4.08
0.2 -1.66 0.42 -0.23 -0.2 0.57 2.32 0.05
0.24 -0.81 0.52 1.12 2.83 -2.99 -5.72 -4.02
0.95 0.08 -0.7 0.22 1.05 -2.59 -2.35 -3.01
0.03 -0.77 0.59 -0.06 -0.57 -0.68 2.19 5.12
0.5 1.35 -0.06 -1.47 1.13 1.99 0.8 4.57
1.14 1.65 0.4 0.17 -0.48 3.08 0.2 3.94
1.32 -0.4 0.11 -0.81 0.33 -2.5 2.36 2.11
-2.75 -1.98 -0.7 -1.83 0.11 -2.14 2.38 -1.47
-1.51 0.09 1.24 0.23 -0.6 5.37 0.5 6.24
0.71 1.06 -0.21 -1.6 0.8 4.07 2.16 1.88
1.14 -0.3 1.64 0.24 1.14 0.73 0.68 4.09
1.1 0.97 0.39 -0.57 -1.71 2 4.57 1.86
-0.66 -2.01 -0.04 -0.73 0.76 -2.05 1.12 -6.32
0.92 -0.19 -0.56 -0.74 1.92 -4.68 -2.24 -1.66
1.53 2.18 0.85 -0.34 1.43 3.45 -0.82 6.85
1.5 -0.81 0.49 0.37 0.37 -1.66 0.07 2.5
-0.63 0.38 -0.04 -1.24 -0.63 2.21 2.6 3.71
0.95 1.41 0.06 1.58 0.34 0.15 -4.05 1.19
