ID Salary Experience Employed Education Gender Department
65 44110 5 6 2 M 4
100 32145 3 15 9 F 1
127 35924 4 6 4 M 4
145 29934 1 5 0 M 4
103 23720 0 0 0 F 3
55 22540 6 5 1 M 1
125 35280 6 9 2 F 4
182 31616 6 7 5 F 3
8 32920 3 15 9 F 1
149 23845 0 0 0 F 3
67 24520 11 3 3 M 1
116 29726 0 2 3 F 2
161 49597 5 14 6 F 4
74 59321 6 18 6 M 4
20 37548 9 19 4 M 3
34 28985 1 0 4 F 1
131 36281 4 9 4 F 2
138 26745 3 1 2 F 4
111 36780 5 6 2 M 4
54 25912 3 15 9 F 1
41 47536 5 15 6 M 3
10 34231 2 6 6 M 4
99 26841 1 5 0 M 4
70 30910 0 2 3 F 2
107 68718 2 25 12 M 4
88 37605 1 6 4 M 2
105 36805 6 6 4 F 4
121 41114 16 22 7 M 1
22 34632 4 5 4 M 4
139 68873 0 27 12 F 4
109 36644 4 4 8 M 3
76 31783 4 21 5 M 1
167 41790 16 22 7 M 1
176 44641 4 9 6 M 4
53 34171 1 5 0 M 4
137 23974 2 6 0 F 1
150 42717 3 9 6 F 4
21 31528 11 3 3 M 1
180 36583 1 6 4 M 2
80 21977 1 0 4 F 1
45 24749 2 6 0 F 1
123 69539 3 22 10 M 4
174 54870 3 20 6 F 3
108 35318 5 9 4 F 2
11 23654 0 0 0 F 3
58 46954 3 9 6 F 4
93 65780 0 27 12 F 4
18 39828 6 18 5 F 1
23 46211 5 14 6 F 4
62 36502 5 9 4 F 2
