ID Salary Experience Employed Education Gender Department
162 29888 0 2 3 F 2
24 29876 0 2 3 F 2
136 31491 6 7 5 F 3
129 40036 6 9 5 F 4
120 51991 6 18 6 M 4
20 37548 9 19 4 M 3
101 28773 6 5 1 M 1
106 35317 6 3 6 F 2
69 53834 5 14 6 F 4
90 31396 6 7 5 F 3
35 35631 4 6 4 M 4
133 47602 5 15 6 M 3
155 36769 4 4 8 M 3
26 38985 7 18 9 M 1
65 44110 5 6 2 M 4
62 36502 5 9 4 F 2
95 32007 1 0 7 M 1
49 25774 1 0 7 M 1
5 34869 5 7 4 F 4
123 69539 3 22 10 M 4
117 43524 9 6 4 M 2
163 43686 9 6 4 M 2
46 26452 3 1 2 F 4
165 53425 0 25 6 M 3
143 38255 5 7 4 F 4
114 34925 4 5 4 M 4
161 49597 5 14 6 F 4
70 30910 0 2 3 F 2
160 38018 4 5 4 M 4
54 25912 3 15 9 F 1
60 36501 6 3 6 F 2
2 46184 3 20 4 M 4
45 24749 2 6 0 F 1
12 39331 3 9 6 F 4
82 54650 3 20 6 F 3
87 47507 5 15 6 M 3
10 34231 2 6 6 M 4
149 23845 0 0 0 F 3
38 41255 4 9 6 M 4
125 35280 6 9 2 F 4
134 36421 1 6 4 M 2
19 36487 5 6 2 M 4
126 28210 1 0 4 F 1
86 27612 6 0 2 F 2
78 56318 19 6 8 M 4
4 54899 5 12 8 F 4
44 31425 6 7 5 F 3
43 56326 3 12 8 M 2
30 38791 4 21 5 M 1
169 72632 3 22 10 M 4
