ID Salary Experience Employed Education Gender Department
172 28886 1 0 4 F 1
56 41854 2 6 6 M 4
181 56338 3 12 8 M 2
70 30910 0 2 3 F 2
45 24749 2 6 0 F 1
92 34075 3 1 2 F 4
147 29449 6 5 1 M 1
11 23654 0 0 0 F 3
155 36769 4 4 8 M 3
23 46211 5 14 6 F 4
107 68718 2 25 12 M 4
76 31783 4 21 5 M 1
138 26745 3 1 2 F 4
6 35487 2 8 2 F 4
103 23720 0 0 0 F 3
37 39743 6 9 5 F 4
42 36571 1 6 4 M 2
143 38255 5 7 4 F 4
10 34231 2 6 6 M 4
16 35468 5 9 4 F 2
176 44641 4 9 6 M 4
52 43110 2 8 2 F 4
78 56318 19 6 8 M 4
171 38373 6 9 2 F 4
104 39624 3 9 6 F 4
13 36512 6 6 4 F 4
39 36431 4 9 4 F 2
73 53205 0 25 6 M 3
49 25774 1 0 7 M 1
53 34171 1 5 0 M 4
38 41255 4 9 6 M 4
91 17741 2 6 0 F 1
129 40036 6 9 5 F 4
30 38791 4 21 5 M 1
88 37605 1 6 4 M 2
12 39331 3 9 6 F 4
118 38210 7 18 9 M 1
145 29934 1 5 0 M 4
137 23974 2 6 0 F 1
131 36281 4 9 4 F 2
31 69246 3 22 10 M 4
156 39729 6 18 5 F 1
144 38873 2 8 2 F 4
179 47727 5 15 6 M 3
26 38985 7 18 9 M 1
101 28773 6 5 1 M 1
175 43129 6 9 5 F 4
22 34632 4 5 4 M 4
27 53234 0 25 6 M 3
87 47507 5 15 6 M 3
