ID Salary Experience Employed Education Gender Department
80 21977 1 0 4 F 1
35 35631 4 6 4 M 4
156 39729 6 18 5 F 1
180 36583 1 6 4 M 2
122 38016 4 21 5 M 1
175 43129 6 9 5 F 4
173 39017 4 6 4 M 4
12 39331 3 9 6 F 4
33 34987 6 9 2 F 4
63 36549 4 4 8 M 3
3 32782 1 0 7 M 1
105 36805 6 6 4 F 4
69 53834 5 14 6 F 4
20 37548 9 19 4 M 3
34 28985 1 0 4 F 1
26 38985 7 18 9 M 1
93 65780 0 27 12 F 4
112 37614 9 19 4 M 3
32 48695 19 6 8 M 4
107 68718 2 25 12 M 4
5 34869 5 7 4 F 4
109 36644 4 4 8 M 3
15 68425 2 25 12 M 4
52 43110 2 8 2 F 4
161 49597 5 14 6 F 4
50 62522 5 12 8 F 4
53 34171 1 5 0 M 4
37 39743 6 9 5 F 4
24 29876 0 2 3 F 2
83 47366 6 9 5 F 4
60 36501 6 3 6 F 2
164 38886 7 18 9 M 1
58 46954 3 9 6 F 4
17 36578 4 4 8 M 3
166 55084 6 18 6 M 4
29 41889 16 22 7 M 1
79 42610 6 9 2 F 4
115 46504 5 14 6 F 4
162 29888 0 2 3 F 2
11 23654 0 0 0 F 3
96 55192 5 12 8 F 4
51 42492 5 7 4 F 4
181 56338 3 12 8 M 2
54 25912 3 15 9 F 1
157 39873 5 6 2 M 4
36 54679 3 20 6 F 3
117 43524 9 6 4 M 2
116 29726 0 2 3 F 2
57 23625 0 0 0 F 3
45 24749 2 6 0 F 1
