ID Salary Experience Employed Education Gender Department
136 31491 6 7 5 F 3
113 30753 11 3 3 M 1
141 32683 1 0 7 M 1
6 35487 2 8 2 F 4
7 26548 1 5 0 M 4
88 37605 1 6 4 M 2
129 40036 6 9 5 F 4
120 51991 6 18 6 M 4
58 46954 3 9 6 F 4
145 29934 1 5 0 M 4
73 53205 0 25 6 M 3
18 39828 6 18 5 F 1
102 34524 2 6 6 M 4
12 39331 3 9 6 F 4
62 36502 5 9 4 F 2
119 53300 0 25 6 M 3
63 36549 4 4 8 M 3
95 32007 1 0 7 M 1
172 28886 1 0 4 F 1
139 68873 0 27 12 F 4
150 42717 3 9 6 F 4
106 35317 6 3 6 F 2
67 24520 11 3 3 M 1
117 43524 9 6 4 M 2
68 42255 4 5 4 M 4
111 36780 5 6 2 M 4
56 41854 2 6 6 M 4
118 38210 7 18 9 M 1
89 57360 3 12 8 M 2
107 68718 2 25 12 M 4
109 36644 4 4 8 M 3
86 27612 6 0 2 F 2
97 35162 5 7 4 F 4
52 43110 2 8 2 F 4
154 35480 5 9 4 F 2
161 49597 5 14 6 F 4
127 35924 4 6 4 M 4
76 31783 4 21 5 M 1
83 47366 6 9 5 F 4
133 47602 5 15 6 M 3
166 55084 6 18 6 M 4
43 56326 3 12 8 M 2
101 28773 6 5 1 M 1
182 31616 6 7 5 F 3
156 39729 6 18 5 F 1
42 36571 1 6 4 M 2
4 54899 5 12 8 F 4
47 73110 0 27 12 F 4
152 35479 6 3 6 F 2
157 39873 5 6 2 M 4
