ID Salary Experience Employed Education Gender Department
63 36549 4 4 8 M 3
42 36571 1 6 4 M 2
168 38692 4 21 5 M 1
50 62522 5 12 8 F 4
111 36780 5 6 2 M 4
15 68425 2 25 12 M 4
115 46504 5 14 6 F 4
149 23845 0 0 0 F 3
105 36805 6 6 4 F 4
36 54679 3 20 6 F 3
121 41114 16 22 7 M 1
3 32782 1 0 7 M 1
145 29934 1 5 0 M 4
66 37519 9 19 4 M 3
167 41790 16 22 7 M 1
69 53834 5 14 6 F 4
107 68718 2 25 12 M 4
128 54745 3 20 6 F 3
152 35479 6 3 6 F 2
110 39053 6 18 5 F 1
35 35631 4 6 4 M 4
131 36281 4 9 4 F 2
182 31616 6 7 5 F 3
157 39873 5 6 2 M 4
136 31491 6 7 5 F 3
28 51698 6 18 6 M 4
40 26578 6 0 2 F 2
181 56338 3 12 8 M 2
1 65487 0 27 12 F 4
143 38255 5 7 4 F 4
147 29449 6 5 1 M 1
120 51991 6 18 6 M 4
85 37465 4 9 4 F 2
93 65780 0 27 12 F 4
8 32920 3 15 9 F 1
99 26841 1 5 0 M 4
135 56176 3 12 8 M 2
19 36487 5 6 2 M 4
29 41889 16 22 7 M 1
12 39331 3 9 6 F 4
64 32820 6 18 5 F 1
24 29876 0 2 3 F 2
132 26428 6 0 2 F 2
11 23654 0 0 0 F 3
159 31429 11 3 3 M 1
112 37614 9 19 4 M 3
37 39743 6 9 5 F 4
21 31528 11 3 3 M 1
7 26548 1 5 0 M 4
58 46954 3 9 6 F 4
