ID Salary Experience Employed Education Gender Department
175 43129 6 9 5 F 4
143 38255 5 7 4 F 4
181 56338 3 12 8 M 2
170 52081 19 6 8 M 4
81 43254 4 6 4 M 4
40 26578 6 0 2 F 2
72 31977 7 18 9 M 1
90 31396 6 7 5 F 3
180 36583 1 6 4 M 2
105 36805 6 6 4 F 4
4 54899 5 12 8 F 4
50 62522 5 12 8 F 4
1 65487 0 27 12 F 4
64 32820 6 18 5 F 1
147 29449 6 5 1 M 1
75 34881 16 22 7 M 1
77 76869 3 22 10 M 4
116 29726 0 2 3 F 2
141 32683 1 0 7 M 1
7 26548 1 5 0 M 4
104 39624 3 9 6 F 4
151 39898 6 6 4 F 4
119 53300 0 25 6 M 3
55 22540 6 5 1 M 1
148 37617 2 6 6 M 4
2 46184 3 20 4 M 4
71 44708 9 6 4 M 2
121 41114 16 22 7 M 1
179 47727 5 15 6 M 3
76 31783 4 21 5 M 1
159 31429 11 3 3 M 1
172 28886 1 0 4 F 1
53 34171 1 5 0 M 4
14 35467 6 3 6 F 2
31 69246 3 22 10 M 4
140 49570 3 20 4 M 4
97 35162 5 7 4 F 4
101 28773 6 5 1 M 1
126 28210 1 0 4 F 1
138 26745 3 1 2 F 4
122 38016 4 21 5 M 1
91 17741 2 6 0 F 1
38 41255 4 9 6 M 4
47 73110 0 27 12 F 4
17 36578 4 4 8 M 3
35 35631 4 6 4 M 4
23 46211 5 14 6 F 4
115 46504 5 14 6 F 4
27 53234 0 25 6 M 3
182 31616 6 7 5 F 3
