ID Salary Experience Employed Education Gender Department
75 34881 16 22 7 M 1
111 36780 5 6 2 M 4
165 53425 0 25 6 M 3
85 37465 4 9 4 F 2
148 37617 2 6 6 M 4
159 31429 11 3 3 M 1
158 37739 9 19 4 M 3
79 42610 6 9 2 F 4
135 56176 3 12 8 M 2
157 39873 5 6 2 M 4
94 46477 3 20 4 M 4
59 44135 6 6 4 F 4
48 53807 3 20 4 M 4
116 29726 0 2 3 F 2
42 36571 1 6 4 M 2
15 68425 2 25 12 M 4
117 43524 9 6 4 M 2
130 41548 4 9 6 M 4
77 76869 3 22 10 M 4
65 44110 5 6 2 M 4
123 69539 3 22 10 M 4
38 41255 4 9 6 M 4
105 36805 6 6 4 F 4
19 36487 5 6 2 M 4
31 69246 3 22 10 M 4
23 46211 5 14 6 F 4
126 28210 1 0 4 F 1
150 42717 3 9 6 F 4
164 38886 7 18 9 M 1
166 55084 6 18 6 M 4
73 53205 0 25 6 M 3
53 34171 1 5 0 M 4
144 38873 2 8 2 F 4
118 38210 7 18 9 M 1
5 34869 5 7 4 F 4
62 36502 5 9 4 F 2
122 38016 4 21 5 M 1
161 49597 5 14 6 F 4
152 35479 6 3 6 F 2
129 40036 6 9 5 F 4
49 25774 1 0 7 M 1
139 68873 0 27 12 F 4
45 24749 2 6 0 F 1
12 39331 3 9 6 F 4
1 65487 0 27 12 F 4
17 36578 4 4 8 M 3
21 31528 11 3 3 M 1
71 44708 9 6 4 M 2
160 38018 4 5 4 M 4
63 36549 4 4 8 M 3
