ID Salary Experience Employed Education Gender Department
52 43110 2 8 2 F 4
57 23625 0 0 0 F 3
125 35280 6 9 2 F 4
90 31396 6 7 5 F 3
56 41854 2 6 6 M 4
182 31616 6 7 5 F 3
117 43524 9 6 4 M 2
140 49570 3 20 4 M 4
2 46184 3 20 4 M 4
58 46954 3 9 6 F 4
115 46504 5 14 6 F 4
114 34925 4 5 4 M 4
128 54745 3 20 6 F 3
69 53834 5 14 6 F 4
129 40036 6 9 5 F 4
120 51991 6 18 6 M 4
151 39898 6 6 4 F 4
36 54679 3 20 6 F 3
109 36644 4 4 8 M 3
38 41255 4 9 6 M 4
166 55084 6 18 6 M 4
130 41548 4 9 6 M 4
96 55192 5 12 8 F 4
89 57360 3 12 8 M 2
98 35780 2 8 2 F 4
118 38210 7 18 9 M 1
86 27612 6 0 2 F 2
93 65780 0 27 12 F 4
18 39828 6 18 5 F 1
174 54870 3 20 6 F 3
161 49597 5 14 6 F 4
79 42610 6 9 2 F 4
47 73110 0 27 12 F 4
85 37465 4 9 4 F 2
84 48878 4 9 6 M 4
19 36487 5 6 2 M 4
178 26590 6 0 2 F 2
49 25774 1 0 7 M 1
135 56176 3 12 8 M 2
33 34987 6 9 2 F 4
95 32007 1 0 7 M 1
67 24520 11 3 3 M 1
87 47507 5 15 6 M 3
64 32820 6 18 5 F 1
167 41790 16 22 7 M 1
4 54899 5 12 8 F 4
78 56318 19 6 8 M 4
154 35480 5 9 4 F 2
20 37548 9 19 4 M 3
155 36769 4 4 8 M 3
