ID Salary Experience Employed Education Gender Department
103 23720 0 0 0 F 3
67 24520 11 3 3 M 1
116 29726 0 2 3 F 2
122 38016 4 21 5 M 1
131 36281 4 9 4 F 2
38 41255 4 9 6 M 4
124 48988 19 6 8 M 4
77 76869 3 22 10 M 4
34 28985 1 0 4 F 1
44 31425 6 7 5 F 3
130 41548 4 9 6 M 4
111 36780 5 6 2 M 4
110 39053 6 18 5 F 1
154 35480 5 9 4 F 2
47 73110 0 27 12 F 4
12 39331 3 9 6 F 4
37 39743 6 9 5 F 4
118 38210 7 18 9 M 1
145 29934 1 5 0 M 4
89 57360 3 12 8 M 2
166 55084 6 18 6 M 4
146 32821 3 15 9 F 1
119 53300 0 25 6 M 3
158 37739 9 19 4 M 3
28 51698 6 18 6 M 4
182 31616 6 7 5 F 3
39 36431 4 9 4 F 2
180 36583 1 6 4 M 2
163 43686 9 6 4 M 2
101 28773 6 5 1 M 1
75 34881 16 22 7 M 1
62 36502 5 9 4 F 2
27 53234 0 25 6 M 3
82 54650 3 20 6 F 3
11 23654 0 0 0 F 3
120 51991 6 18 6 M 4
48 53807 3 20 4 M 4
135 56176 3 12 8 M 2
85 37465 4 9 4 F 2
25 43674 9 6 4 M 2
160 38018 4 5 4 M 4
134 36421 1 6 4 M 2
170 52081 19 6 8 M 4
61 76048 2 25 12 M 4
40 26578 6 0 2 F 2
17 36578 4 4 8 M 3
53 34171 1 5 0 M 4
175 43129 6 9 5 F 4
162 29888 0 2 3 F 2
32 48695 19 6 8 M 4
