ID Salary Experience Employed Education Gender Department
154 35480 5 9 4 F 2
5 34869 5 7 4 F 4
68 42255 4 5 4 M 4
44 31425 6 7 5 F 3
164 38886 7 18 9 M 1
30 38791 4 21 5 M 1
172 28886 1 0 4 F 1
130 41548 4 9 6 M 4
63 36549 4 4 8 M 3
160 38018 4 5 4 M 4
173 39017 4 6 4 M 4
150 42717 3 9 6 F 4
49 25774 1 0 7 M 1
22 34632 4 5 4 M 4
41 47536 5 15 6 M 3
129 40036 6 9 5 F 4
92 34075 3 1 2 F 4
83 47366 6 9 5 F 4
158 37739 9 19 4 M 3
176 44641 4 9 6 M 4
70 30910 0 2 3 F 2
177 36443 4 9 4 F 2
13 36512 6 6 4 F 4
73 53205 0 25 6 M 3
116 29726 0 2 3 F 2
53 34171 1 5 0 M 4
75 34881 16 22 7 M 1
88 37605 1 6 4 M 2
178 26590 6 0 2 F 2
122 38016 4 21 5 M 1
113 30753 11 3 3 M 1
58 46954 3 9 6 F 4
139 68873 0 27 12 F 4
2 46184 3 20 4 M 4
182 31616 6 7 5 F 3
42 36571 1 6 4 M 2
65 44110 5 6 2 M 4
148 37617 2 6 6 M 4
11 23654 0 0 0 F 3
125 35280 6 9 2 F 4
54 25912 3 15 9 F 1
171 38373 6 9 2 F 4
47 73110 0 27 12 F 4
131 36281 4 9 4 F 2
1 65487 0 27 12 F 4
183 24650 2 6 0 F 1
4 54899 5 12 8 F 4
87 47507 5 15 6 M 3
106 35317 6 3 6 F 2
127 35924 4 6 4 M 4
