ID Salary Experience Employed Education Gender Department
117 43524 9 6 4 M 2
180 36583 1 6 4 M 2
28 51698 6 18 6 M 4
95 32007 1 0 7 M 1
13 36512 6 6 4 F 4
67 24520 11 3 3 M 1
31 69246 3 22 10 M 4
156 39729 6 18 5 F 1
112 37614 9 19 4 M 3
129 40036 6 9 5 F 4
98 35780 2 8 2 F 4
144 38873 2 8 2 F 4
82 54650 3 20 6 F 3
136 31491 6 7 5 F 3
85 37465 4 9 4 F 2
17 36578 4 4 8 M 3
65 44110 5 6 2 M 4
54 25912 3 15 9 F 1
68 42255 4 5 4 M 4
52 43110 2 8 2 F 4
26 38985 7 18 9 M 1
30 38791 4 21 5 M 1
96 55192 5 12 8 F 4
150 42717 3 9 6 F 4
147 29449 6 5 1 M 1
118 38210 7 18 9 M 1
90 31396 6 7 5 F 3
6 35487 2 8 2 F 4
170 52081 19 6 8 M 4
43 56326 3 12 8 M 2
86 27612 6 0 2 F 2
183 24650 2 6 0 F 1
100 32145 3 15 9 F 1
81 43254 4 6 4 M 4
69 53834 5 14 6 F 4
35 35631 4 6 4 M 4
8 32920 3 15 9 F 1
107 68718 2 25 12 M 4
2 46184 3 20 4 M 4
101 28773 6 5 1 M 1
184 29838 3 1 2 F 4
12 39331 3 9 6 F 4
51 42492 5 7 4 F 4
116 29726 0 2 3 F 2
89 57360 3 12 8 M 2
41 47536 5 15 6 M 3
66 37519 9 19 4 M 3
39 36431 4 9 4 F 2
20 37548 9 19 4 M 3
174 54870 3 20 6 F 3
