ID Salary Experience Employed Education Gender Department
171 38373 6 9 2 F 4
122 38016 4 21 5 M 1
108 35318 5 9 4 F 2
149 23845 0 0 0 F 3
35 35631 4 6 4 M 4
44 31425 6 7 5 F 3
110 39053 6 18 5 F 1
74 59321 6 18 6 M 4
135 56176 3 12 8 M 2
63 36549 4 4 8 M 3
83 47366 6 9 5 F 4
116 29726 0 2 3 F 2
102 34524 2 6 6 M 4
61 76048 2 25 12 M 4
8 32920 3 15 9 F 1
126 28210 1 0 4 F 1
22 34632 4 5 4 M 4
150 42717 3 9 6 F 4
146 32821 3 15 9 F 1
120 51991 6 18 6 M 4
143 38255 5 7 4 F 4
151 39898 6 6 4 F 4
169 72632 3 22 10 M 4
56 41854 2 6 6 M 4
166 55084 6 18 6 M 4
168 38692 4 21 5 M 1
119 53300 0 25 6 M 3
144 38873 2 8 2 F 4
92 34075 3 1 2 F 4
50 62522 5 12 8 F 4
51 42492 5 7 4 F 4
94 46477 3 20 4 M 4
127 35924 4 6 4 M 4
37 39743 6 9 5 F 4
98 35780 2 8 2 F 4
2 46184 3 20 4 M 4
10 34231 2 6 6 M 4
68 42255 4 5 4 M 4
23 46211 5 14 6 F 4
43 56326 3 12 8 M 2
158 37739 9 19 4 M 3
84 48878 4 9 6 M 4
91 17741 2 6 0 F 1
13 36512 6 6 4 F 4
49 25774 1 0 7 M 1
5 34869 5 7 4 F 4
141 32683 1 0 7 M 1
58 46954 3 9 6 F 4
67 24520 11 3 3 M 1
181 56338 3 12 8 M 2
