ID Salary Experience Employed Education Gender Department
128 54745 3 20 6 F 3
118 38210 7 18 9 M 1
162 29888 0 2 3 F 2
89 57360 3 12 8 M 2
66 37519 9 19 4 M 3
12 39331 3 9 6 F 4
177 36443 4 9 4 F 2
41 47536 5 15 6 M 3
80 21977 1 0 4 F 1
59 44135 6 6 4 F 4
127 35924 4 6 4 M 4
104 39624 3 9 6 F 4
90 31396 6 7 5 F 3
115 46504 5 14 6 F 4
71 44708 9 6 4 M 2
14 35467 6 3 6 F 2
70 30910 0 2 3 F 2
164 38886 7 18 9 M 1
62 36502 5 9 4 F 2
78 56318 19 6 8 M 4
143 38255 5 7 4 F 4
6 35487 2 8 2 F 4
93 65780 0 27 12 F 4
44 31425 6 7 5 F 3
27 53234 0 25 6 M 3
23 46211 5 14 6 F 4
48 53807 3 20 4 M 4
39 36431 4 9 4 F 2
55 22540 6 5 1 M 1
30 38791 4 21 5 M 1
174 54870 3 20 6 F 3
56 41854 2 6 6 M 4
20 37548 9 19 4 M 3
179 47727 5 15 6 M 3
99 26841 1 5 0 M 4
22 34632 4 5 4 M 4
109 36644 4 4 8 M 3
57 23625 0 0 0 F 3
139 68873 0 27 12 F 4
173 39017 4 6 4 M 4
160 38018 4 5 4 M 4
88 37605 1 6 4 M 2
121 41114 16 22 7 M 1
122 38016 4 21 5 M 1
83 47366 6 9 5 F 4
167 41790 16 22 7 M 1
86 27612 6 0 2 F 2
117 43524 9 6 4 M 2
45 24749 2 6 0 F 1
142 58285 5 12 8 F 4
