ID Salary Experience Employed Education Gender Department
143 38255 5 7 4 F 4
142 58285 5 12 8 F 4
96 55192 5 12 8 F 4
112 37614 9 19 4 M 3
137 23974 2 6 0 F 1
120 51991 6 18 6 M 4
86 27612 6 0 2 F 2
89 57360 3 12 8 M 2
78 56318 19 6 8 M 4
38 41255 4 9 6 M 4
69 53834 5 14 6 F 4
130 41548 4 9 6 M 4
90 31396 6 7 5 F 3
144 38873 2 8 2 F 4
107 68718 2 25 12 M 4
141 32683 1 0 7 M 1
68 42255 4 5 4 M 4
63 36549 4 4 8 M 3
172 28886 1 0 4 F 1
52 43110 2 8 2 F 4
145 29934 1 5 0 M 4
10 34231 2 6 6 M 4
15 68425 2 25 12 M 4
85 37465 4 9 4 F 2
61 76048 2 25 12 M 4
99 26841 1 5 0 M 4
56 41854 2 6 6 M 4
87 47507 5 15 6 M 3
74 59321 6 18 6 M 4
104 39624 3 9 6 F 4
7 26548 1 5 0 M 4
109 36644 4 4 8 M 3
102 34524 2 6 6 M 4
122 38016 4 21 5 M 1
118 38210 7 18 9 M 1
167 41790 16 22 7 M 1
106 35317 6 3 6 F 2
154 35480 5 9 4 F 2
117 43524 9 6 4 M 2
153 71811 2 25 12 M 4
159 31429 11 3 3 M 1
95 32007 1 0 7 M 1
67 24520 11 3 3 M 1
35 35631 4 6 4 M 4
169 72632 3 22 10 M 4
174 54870 3 20 6 F 3
155 36769 4 4 8 M 3
175 43129 6 9 5 F 4
45 24749 2 6 0 F 1
105 36805 6 6 4 F 4
