ID Salary Experience Employed Education Gender Department
81 43254 4 6 4 M 4
84 48878 4 9 6 M 4
124 48988 19 6 8 M 4
130 41548 4 9 6 M 4
75 34881 16 22 7 M 1
39 36431 4 9 4 F 2
86 27612 6 0 2 F 2
50 62522 5 12 8 F 4
140 49570 3 20 4 M 4
138 26745 3 1 2 F 4
23 46211 5 14 6 F 4
78 56318 19 6 8 M 4
8 32920 3 15 9 F 1
148 37617 2 6 6 M 4
164 38886 7 18 9 M 1
33 34987 6 9 2 F 4
13 36512 6 6 4 F 4
167 41790 16 22 7 M 1
51 42492 5 7 4 F 4
94 46477 3 20 4 M 4
158 37739 9 19 4 M 3
128 54745 3 20 6 F 3
135 56176 3 12 8 M 2
52 43110 2 8 2 F 4
35 35631 4 6 4 M 4
27 53234 0 25 6 M 3
36 54679 3 20 6 F 3
73 53205 0 25 6 M 3
74 59321 6 18 6 M 4
133 47602 5 15 6 M 3
64 32820 6 18 5 F 1
161 49597 5 14 6 F 4
41 47536 5 15 6 M 3
136 31491 6 7 5 F 3
87 47507 5 15 6 M 3
44 31425 6 7 5 F 3
34 28985 1 0 4 F 1
162 29888 0 2 3 F 2
67 24520 11 3 3 M 1
20 37548 9 19 4 M 3
12 39331 3 9 6 F 4
112 37614 9 19 4 M 3
89 57360 3 12 8 M 2
146 32821 3 15 9 F 1
54 25912 3 15 9 F 1
90 31396 6 7 5 F 3
19 36487 5 6 2 M 4
83 47366 6 9 5 F 4
184 29838 3 1 2 F 4
92 34075 3 1 2 F 4
