ID Salary Experience Employed Education Gender Department
136 31491 6 7 5 F 3
155 36769 4 4 8 M 3
16 35468 5 9 4 F 2
172 28886 1 0 4 F 1
143 38255 5 7 4 F 4
29 41889 16 22 7 M 1
163 43686 9 6 4 M 2
98 35780 2 8 2 F 4
151 39898 6 6 4 F 4
147 29449 6 5 1 M 1
162 29888 0 2 3 F 2
133 47602 5 15 6 M 3
11 23654 0 0 0 F 3
50 62522 5 12 8 F 4
19 36487 5 6 2 M 4
20 37548 9 19 4 M 3
92 34075 3 1 2 F 4
83 47366 6 9 5 F 4
75 34881 16 22 7 M 1
173 39017 4 6 4 M 4
62 36502 5 9 4 F 2
57 23625 0 0 0 F 3
3 32782 1 0 7 M 1
45 24749 2 6 0 F 1
87 47507 5 15 6 M 3
128 54745 3 20 6 F 3
71 44708 9 6 4 M 2
27 53234 0 25 6 M 3
160 38018 4 5 4 M 4
165 53425 0 25 6 M 3
6 35487 2 8 2 F 4
119 53300 0 25 6 M 3
100 32145 3 15 9 F 1
144 38873 2 8 2 F 4
184 29838 3 1 2 F 4
91 17741 2 6 0 F 1
81 43254 4 6 4 M 4
35 35631 4 6 4 M 4
78 56318 19 6 8 M 4
63 36549 4 4 8 M 3
48 53807 3 20 4 M 4
150 42717 3 9 6 F 4
164 38886 7 18 9 M 1
18 39828 6 18 5 F 1
129 40036 6 9 5 F 4
161 49597 5 14 6 F 4
5 34869 5 7 4 F 4
41 47536 5 15 6 M 3
22 34632 4 5 4 M 4
152 35479 6 3 6 F 2
