ID Salary Experience Employed Education Gender Department
66 37519 9 19 4 M 3
171 38373 6 9 2 F 4
6 35487 2 8 2 F 4
173 39017 4 6 4 M 4
100 32145 3 15 9 F 1
18 39828 6 18 5 F 1
132 26428 6 0 2 F 2
108 35318 5 9 4 F 2
117 43524 9 6 4 M 2
41 47536 5 15 6 M 3
92 34075 3 1 2 F 4
143 38255 5 7 4 F 4
107 68718 2 25 12 M 4
156 39729 6 18 5 F 1
153 71811 2 25 12 M 4
118 38210 7 18 9 M 1
150 42717 3 9 6 F 4
2 46184 3 20 4 M 4
91 17741 2 6 0 F 1
45 24749 2 6 0 F 1
81 43254 4 6 4 M 4
1 65487 0 27 12 F 4
155 36769 4 4 8 M 3
15 68425 2 25 12 M 4
60 36501 6 3 6 F 2
65 44110 5 6 2 M 4
176 44641 4 9 6 M 4
17 36578 4 4 8 M 3
113 30753 11 3 3 M 1
119 53300 0 25 6 M 3
53 34171 1 5 0 M 4
42 36571 1 6 4 M 2
79 42610 6 9 2 F 4
126 28210 1 0 4 F 1
129 40036 6 9 5 F 4
63 36549 4 4 8 M 3
140 49570 3 20 4 M 4
101 28773 6 5 1 M 1
165 53425 0 25 6 M 3
151 39898 6 6 4 F 4
98 35780 2 8 2 F 4
86 27612 6 0 2 F 2
19 36487 5 6 2 M 4
34 28985 1 0 4 F 1
149 23845 0 0 0 F 3
54 25912 3 15 9 F 1
160 38018 4 5 4 M 4
158 37739 9 19 4 M 3
127 35924 4 6 4 M 4
125 35280 6 9 2 F 4
