ID Salary Experience Employed Education Gender Department
6 35487 2 8 2 F 4
28 51698 6 18 6 M 4
177 36443 4 9 4 F 2
127 35924 4 6 4 M 4
109 36644 4 4 8 M 3
8 32920 3 15 9 F 1
61 76048 2 25 12 M 4
118 38210 7 18 9 M 1
16 35468 5 9 4 F 2
164 38886 7 18 9 M 1
62 36502 5 9 4 F 2
114 34925 4 5 4 M 4
53 34171 1 5 0 M 4
119 53300 0 25 6 M 3
93 65780 0 27 12 F 4
107 68718 2 25 12 M 4
146 32821 3 15 9 F 1
12 39331 3 9 6 F 4
37 39743 6 9 5 F 4
128 54745 3 20 6 F 3
2 46184 3 20 4 M 4
182 31616 6 7 5 F 3
25 43674 9 6 4 M 2
137 23974 2 6 0 F 1
153 71811 2 25 12 M 4
40 26578 6 0 2 F 2
49 25774 1 0 7 M 1
20 37548 9 19 4 M 3
78 56318 19 6 8 M 4
68 42255 4 5 4 M 4
165 53425 0 25 6 M 3
171 38373 6 9 2 F 4
82 54650 3 20 6 F 3
58 46954 3 9 6 F 4
33 34987 6 9 2 F 4
144 38873 2 8 2 F 4
168 38692 4 21 5 M 1
74 59321 6 18 6 M 4
138 26745 3 1 2 F 4
7 26548 1 5 0 M 4
65 44110 5 6 2 M 4
95 32007 1 0 7 M 1
126 28210 1 0 4 F 1
125 35280 6 9 2 F 4
98 35780 2 8 2 F 4
3 32782 1 0 7 M 1
85 37465 4 9 4 F 2
170 52081 19 6 8 M 4
81 43254 4 6 4 M 4
133 47602 5 15 6 M 3
