ID Salary Experience Employed Education Gender Department
25 43674 9 6 4 M 2
147 29449 6 5 1 M 1
90 31396 6 7 5 F 3
27 53234 0 25 6 M 3
21 31528 11 3 3 M 1
36 54679 3 20 6 F 3
179 47727 5 15 6 M 3
103 23720 0 0 0 F 3
164 38886 7 18 9 M 1
149 23845 0 0 0 F 3
9 29548 6 5 1 M 1
165 53425 0 25 6 M 3
178 26590 6 0 2 F 2
150 42717 3 9 6 F 4
20 37548 9 19 4 M 3
92 34075 3 1 2 F 4
118 38210 7 18 9 M 1
39 36431 4 9 4 F 2
32 48695 19 6 8 M 4
46 26452 3 1 2 F 4
130 41548 4 9 6 M 4
139 68873 0 27 12 F 4
86 27612 6 0 2 F 2
87 47507 5 15 6 M 3
138 26745 3 1 2 F 4
148 37617 2 6 6 M 4
184 29838 3 1 2 F 4
94 46477 3 20 4 M 4
119 53300 0 25 6 M 3
97 35162 5 7 4 F 4
10 34231 2 6 6 M 4
159 31429 11 3 3 M 1
101 28773 6 5 1 M 1
152 35479 6 3 6 F 2
57 23625 0 0 0 F 3
18 39828 6 18 5 F 1
77 76869 3 22 10 M 4
158 37739 9 19 4 M 3
162 29888 0 2 3 F 2
49 25774 1 0 7 M 1
122 38016 4 21 5 M 1
76 31783 4 21 5 M 1
66 37519 9 19 4 M 3
75 34881 16 22 7 M 1
53 34171 1 5 0 M 4
100 32145 3 15 9 F 1
174 54870 3 20 6 F 3
127 35924 4 6 4 M 4
116 29726 0 2 3 F 2
169 72632 3 22 10 M 4
