ID Salary Experience Employed Education Gender Department
79 42610 6 9 2 F 4
182 31616 6 7 5 F 3
161 49597 5 14 6 F 4
48 53807 3 20 4 M 4
61 76048 2 25 12 M 4
71 44708 9 6 4 M 2
14 35467 6 3 6 F 2
1 65487 0 27 12 F 4
145 29934 1 5 0 M 4
90 31396 6 7 5 F 3
39 36431 4 9 4 F 2
88 37605 1 6 4 M 2
95 32007 1 0 7 M 1
29 41889 16 22 7 M 1
131 36281 4 9 4 F 2
115 46504 5 14 6 F 4
177 36443 4 9 4 F 2
25 43674 9 6 4 M 2
4 54899 5 12 8 F 4
165 53425 0 25 6 M 3
96 55192 5 12 8 F 4
111 36780 5 6 2 M 4
93 65780 0 27 12 F 4
21 31528 11 3 3 M 1
58 46954 3 9 6 F 4
33 34987 6 9 2 F 4
7 26548 1 5 0 M 4
109 36644 4 4 8 M 3
123 69539 3 22 10 M 4
116 29726 0 2 3 F 2
158 37739 9 19 4 M 3
72 31977 7 18 9 M 1
28 51698 6 18 6 M 4
12 39331 3 9 6 F 4
125 35280 6 9 2 F 4
59 44135 6 6 4 F 4
85 37465 4 9 4 F 2
151 39898 6 6 4 F 4
167 41790 16 22 7 M 1
70 30910 0 2 3 F 2
60 36501 6 3 6 F 2
57 23625 0 0 0 F 3
54 25912 3 15 9 F 1
152 35479 6 3 6 F 2
91 17741 2 6 0 F 1
36 54679 3 20 6 F 3
83 47366 6 9 5 F 4
74 59321 6 18 6 M 4
120 51991 6 18 6 M 4
68 42255 4 5 4 M 4
