ID Salary Experience Employed Education Gender Department
175 43129 6 9 5 F 4
12 39331 3 9 6 F 4
107 68718 2 25 12 M 4
110 39053 6 18 5 F 1
115 46504 5 14 6 F 4
54 25912 3 15 9 F 1
114 34925 4 5 4 M 4
122 38016 4 21 5 M 1
2 46184 3 20 4 M 4
52 43110 2 8 2 F 4
117 43524 9 6 4 M 2
20 37548 9 19 4 M 3
132 26428 6 0 2 F 2
126 28210 1 0 4 F 1
80 21977 1 0 4 F 1
174 54870 3 20 6 F 3
44 31425 6 7 5 F 3
140 49570 3 20 4 M 4
95 32007 1 0 7 M 1
17 36578 4 4 8 M 3
13 36512 6 6 4 F 4
109 36644 4 4 8 M 3
181 56338 3 12 8 M 2
150 42717 3 9 6 F 4
91 17741 2 6 0 F 1
155 36769 4 4 8 M 3
90 31396 6 7 5 F 3
178 26590 6 0 2 F 2
81 43254 4 6 4 M 4
66 37519 9 19 4 M 3
48 53807 3 20 4 M 4
60 36501 6 3 6 F 2
103 23720 0 0 0 F 3
70 30910 0 2 3 F 2
15 68425 2 25 12 M 4
113 30753 11 3 3 M 1
47 73110 0 27 12 F 4
133 47602 5 15 6 M 3
36 54679 3 20 6 F 3
85 37465 4 9 4 F 2
9 29548 6 5 1 M 1
101 28773 6 5 1 M 1
118 38210 7 18 9 M 1
14 35467 6 3 6 F 2
28 51698 6 18 6 M 4
102 34524 2 6 6 M 4
168 38692 4 21 5 M 1
77 76869 3 22 10 M 4
5 34869 5 7 4 F 4
65 44110 5 6 2 M 4
