ID Salary Experience Employed Education Gender Department
179 47727 5 15 6 M 3
78 56318 19 6 8 M 4
54 25912 3 15 9 F 1
37 39743 6 9 5 F 4
158 37739 9 19 4 M 3
124 48988 19 6 8 M 4
144 38873 2 8 2 F 4
106 35317 6 3 6 F 2
74 59321 6 18 6 M 4
21 31528 11 3 3 M 1
132 26428 6 0 2 F 2
25 43674 9 6 4 M 2
1 65487 0 27 12 F 4
49 25774 1 0 7 M 1
178 26590 6 0 2 F 2
33 34987 6 9 2 F 4
122 38016 4 21 5 M 1
15 68425 2 25 12 M 4
12 39331 3 9 6 F 4
118 38210 7 18 9 M 1
173 39017 4 6 4 M 4
55 22540 6 5 1 M 1
66 37519 9 19 4 M 3
107 68718 2 25 12 M 4
38 41255 4 9 6 M 4
47 73110 0 27 12 F 4
129 40036 6 9 5 F 4
123 69539 3 22 10 M 4
150 42717 3 9 6 F 4
22 34632 4 5 4 M 4
86 27612 6 0 2 F 2
151 39898 6 6 4 F 4
160 38018 4 5 4 M 4
94 46477 3 20 4 M 4
65 44110 5 6 2 M 4
8 32920 3 15 9 F 1
9 29548 6 5 1 M 1
155 36769 4 4 8 M 3
134 36421 1 6 4 M 2
171 38373 6 9 2 F 4
63 36549 4 4 8 M 3
125 35280 6 9 2 F 4
71 44708 9 6 4 M 2
162 29888 0 2 3 F 2
73 53205 0 25 6 M 3
174 54870 3 20 6 F 3
116 29726 0 2 3 F 2
177 36443 4 9 4 F 2
17 36578 4 4 8 M 3
119 53300 0 25 6 M 3
