ID Salary Experience Employed Education Gender Department
117 43524 9 6 4 M 2
60 36501 6 3 6 F 2
86 27612 6 0 2 F 2
80 21977 1 0 4 F 1
127 35924 4 6 4 M 4
4 54899 5 12 8 F 4
33 34987 6 9 2 F 4
73 53205 0 25 6 M 3
163 43686 9 6 4 M 2
38 41255 4 9 6 M 4
22 34632 4 5 4 M 4
21 31528 11 3 3 M 1
88 37605 1 6 4 M 2
77 76869 3 22 10 M 4
150 42717 3 9 6 F 4
175 43129 6 9 5 F 4
113 30753 11 3 3 M 1
8 32920 3 15 9 F 1
26 38985 7 18 9 M 1
37 39743 6 9 5 F 4
138 26745 3 1 2 F 4
107 68718 2 25 12 M 4
42 36571 1 6 4 M 2
135 56176 3 12 8 M 2
7 26548 1 5 0 M 4
105 36805 6 6 4 F 4
174 54870 3 20 6 F 3
112 37614 9 19 4 M 3
172 28886 1 0 4 F 1
11 23654 0 0 0 F 3
83 47366 6 9 5 F 4
47 73110 0 27 12 F 4
123 69539 3 22 10 M 4
131 36281 4 9 4 F 2
118 38210 7 18 9 M 1
15 68425 2 25 12 M 4
94 46477 3 20 4 M 4
71 44708 9 6 4 M 2
24 29876 0 2 3 F 2
35 35631 4 6 4 M 4
133 47602 5 15 6 M 3
152 35479 6 3 6 F 2
160 38018 4 5 4 M 4
141 32683 1 0 7 M 1
20 37548 9 19 4 M 3
28 51698 6 18 6 M 4
1 65487 0 27 12 F 4
116 29726 0 2 3 F 2
110 39053 6 18 5 F 1
130 41548 4 9 6 M 4
