ID Salary Experience Employed Education Gender Department
119 53300 0 25 6 M 3
36 54679 3 20 6 F 3
22 34632 4 5 4 M 4
86 27612 6 0 2 F 2
149 23845 0 0 0 F 3
174 54870 3 20 6 F 3
89 57360 3 12 8 M 2
25 43674 9 6 4 M 2
109 36644 4 4 8 M 3
91 17741 2 6 0 F 1
38 41255 4 9 6 M 4
82 54650 3 20 6 F 3
165 53425 0 25 6 M 3
97 35162 5 7 4 F 4
163 43686 9 6 4 M 2
144 38873 2 8 2 F 4
98 35780 2 8 2 F 4
52 43110 2 8 2 F 4
114 34925 4 5 4 M 4
101 28773 6 5 1 M 1
94 46477 3 20 4 M 4
53 34171 1 5 0 M 4
113 30753 11 3 3 M 1
20 37548 9 19 4 M 3
139 68873 0 27 12 F 4
158 37739 9 19 4 M 3
43 56326 3 12 8 M 2
27 53234 0 25 6 M 3
169 72632 3 22 10 M 4
6 35487 2 8 2 F 4
121 41114 16 22 7 M 1
183 24650 2 6 0 F 1
100 32145 3 15 9 F 1
59 44135 6 6 4 F 4
138 26745 3 1 2 F 4
127 35924 4 6 4 M 4
115 46504 5 14 6 F 4
124 48988 19 6 8 M 4
23 46211 5 14 6 F 4
15 68425 2 25 12 M 4
4 54899 5 12 8 F 4
135 56176 3 12 8 M 2
83 47366 6 9 5 F 4
171 38373 6 9 2 F 4
1 65487 0 27 12 F 4
106 35317 6 3 6 F 2
54 25912 3 15 9 F 1
79 42610 6 9 2 F 4
184 29838 3 1 2 F 4
111 36780 5 6 2 M 4
