ID Salary Experience Employed Education Gender Department
96 55192 5 12 8 F 4
45 24749 2 6 0 F 1
116 29726 0 2 3 F 2
102 34524 2 6 6 M 4
91 17741 2 6 0 F 1
5 34869 5 7 4 F 4
99 26841 1 5 0 M 4
34 28985 1 0 4 F 1
68 42255 4 5 4 M 4
56 41854 2 6 6 M 4
127 35924 4 6 4 M 4
120 51991 6 18 6 M 4
26 38985 7 18 9 M 1
166 55084 6 18 6 M 4
126 28210 1 0 4 F 1
165 53425 0 25 6 M 3
108 35318 5 9 4 F 2
92 34075 3 1 2 F 4
140 49570 3 20 4 M 4
104 39624 3 9 6 F 4
171 38373 6 9 2 F 4
147 29449 6 5 1 M 1
53 34171 1 5 0 M 4
144 38873 2 8 2 F 4
58 46954 3 9 6 F 4
57 23625 0 0 0 F 3
98 35780 2 8 2 F 4
109 36644 4 4 8 M 3
30 38791 4 21 5 M 1
86 27612 6 0 2 F 2
50 62522 5 12 8 F 4
101 28773 6 5 1 M 1
172 28886 1 0 4 F 1
177 36443 4 9 4 F 2
117 43524 9 6 4 M 2
75 34881 16 22 7 M 1
95 32007 1 0 7 M 1
76 31783 4 21 5 M 1
90 31396 6 7 5 F 3
47 73110 0 27 12 F 4
182 31616 6 7 5 F 3
152 35479 6 3 6 F 2
22 34632 4 5 4 M 4
170 52081 19 6 8 M 4
37 39743 6 9 5 F 4
162 29888 0 2 3 F 2
12 39331 3 9 6 F 4
183 24650 2 6 0 F 1
83 47366 6 9 5 F 4
103 23720 0 0 0 F 3
