ID Salary Experience Employed Education Gender Department
127 35924 4 6 4 M 4
12 39331 3 9 6 F 4
34 28985 1 0 4 F 1
108 35318 5 9 4 F 2
137 23974 2 6 0 F 1
61 76048 2 25 12 M 4
72 31977 7 18 9 M 1
68 42255 4 5 4 M 4
165 53425 0 25 6 M 3
113 30753 11 3 3 M 1
150 42717 3 9 6 F 4
83 47366 6 9 5 F 4
31 69246 3 22 10 M 4
66 37519 9 19 4 M 3
75 34881 16 22 7 M 1
2 46184 3 20 4 M 4
94 46477 3 20 4 M 4
159 31429 11 3 3 M 1
158 37739 9 19 4 M 3
141 32683 1 0 7 M 1
85 37465 4 9 4 F 2
39 36431 4 9 4 F 2
88 37605 1 6 4 M 2
110 39053 6 18 5 F 1
134 36421 1 6 4 M 2
176 44641 4 9 6 M 4
36 54679 3 20 6 F 3
173 39017 4 6 4 M 4
81 43254 4 6 4 M 4
44 31425 6 7 5 F 3
133 47602 5 15 6 M 3
25 43674 9 6 4 M 2
62 36502 5 9 4 F 2
155 36769 4 4 8 M 3
156 39729 6 18 5 F 1
40 26578 6 0 2 F 2
42 36571 1 6 4 M 2
118 38210 7 18 9 M 1
55 22540 6 5 1 M 1
103 23720 0 0 0 F 3
147 29449 6 5 1 M 1
33 34987 6 9 2 F 4
41 47536 5 15 6 M 3
179 47727 5 15 6 M 3
164 38886 7 18 9 M 1
84 48878 4 9 6 M 4
96 55192 5 12 8 F 4
149 23845 0 0 0 F 3
171 38373 6 9 2 F 4
183 24650 2 6 0 F 1
