ID Salary Experience Employed Education Gender Department
131 36281 4 9 4 F 2
96 55192 5 12 8 F 4
67 24520 11 3 3 M 1
47 73110 0 27 12 F 4
108 35318 5 9 4 F 2
178 26590 6 0 2 F 2
91 17741 2 6 0 F 1
99 26841 1 5 0 M 4
45 24749 2 6 0 F 1
6 35487 2 8 2 F 4
25 43674 9 6 4 M 2
125 35280 6 9 2 F 4
89 57360 3 12 8 M 2
14 35467 6 3 6 F 2
140 49570 3 20 4 M 4
27 53234 0 25 6 M 3
165 53425 0 25 6 M 3
61 76048 2 25 12 M 4
162 29888 0 2 3 F 2
52 43110 2 8 2 F 4
149 23845 0 0 0 F 3
102 34524 2 6 6 M 4
10 34231 2 6 6 M 4
59 44135 6 6 4 F 4
116 29726 0 2 3 F 2
41 47536 5 15 6 M 3
40 26578 6 0 2 F 2
49 25774 1 0 7 M 1
141 32683 1 0 7 M 1
110 39053 6 18 5 F 1
136 31491 6 7 5 F 3
44 31425 6 7 5 F 3
66 37519 9 19 4 M 3
180 36583 1 6 4 M 2
177 36443 4 9 4 F 2
50 62522 5 12 8 F 4
5 34869 5 7 4 F 4
123 69539 3 22 10 M 4
156 39729 6 18 5 F 1
154 35480 5 9 4 F 2
170 52081 19 6 8 M 4
126 28210 1 0 4 F 1
48 53807 3 20 4 M 4
23 46211 5 14 6 F 4
11 23654 0 0 0 F 3
31 69246 3 22 10 M 4
33 34987 6 9 2 F 4
51 42492 5 7 4 F 4
24 29876 0 2 3 F 2
35 35631 4 6 4 M 4
