ID Salary Experience Employed Education Gender Department
113 30753 11 3 3 M 1
51 42492 5 7 4 F 4
20 37548 9 19 4 M 3
15 68425 2 25 12 M 4
78 56318 19 6 8 M 4
6 35487 2 8 2 F 4
112 37614 9 19 4 M 3
89 57360 3 12 8 M 2
176 44641 4 9 6 M 4
173 39017 4 6 4 M 4
55 22540 6 5 1 M 1
86 27612 6 0 2 F 2
136 31491 6 7 5 F 3
71 44708 9 6 4 M 2
152 35479 6 3 6 F 2
146 32821 3 15 9 F 1
134 36421 1 6 4 M 2
62 36502 5 9 4 F 2
133 47602 5 15 6 M 3
129 40036 6 9 5 F 4
166 55084 6 18 6 M 4
81 43254 4 6 4 M 4
121 41114 16 22 7 M 1
84 48878 4 9 6 M 4
167 41790 16 22 7 M 1
168 38692 4 21 5 M 1
29 41889 16 22 7 M 1
184 29838 3 1 2 F 4
58 46954 3 9 6 F 4
106 35317 6 3 6 F 2
45 24749 2 6 0 F 1
148 37617 2 6 6 M 4
155 36769 4 4 8 M 3
105 36805 6 6 4 F 4
38 41255 4 9 6 M 4
25 43674 9 6 4 M 2
123 69539 3 22 10 M 4
21 31528 11 3 3 M 1
99 26841 1 5 0 M 4
107 68718 2 25 12 M 4
111 36780 5 6 2 M 4
156 39729 6 18 5 F 1
116 29726 0 2 3 F 2
12 39331 3 9 6 F 4
122 38016 4 21 5 M 1
124 48988 19 6 8 M 4
103 23720 0 0 0 F 3
72 31977 7 18 9 M 1
159 31429 11 3 3 M 1
37 39743 6 9 5 F 4
