ID Salary Experience Employed Education Gender Department
91 17741 2 6 0 F 1
80 21977 1 0 4 F 1
11 23654 0 0 0 F 3
8 32920 3 15 9 F 1
141 32683 1 0 7 M 1
69 53834 5 14 6 F 4
123 69539 3 22 10 M 4
4 54899 5 12 8 F 4
27 53234 0 25 6 M 3
49 25774 1 0 7 M 1
58 46954 3 9 6 F 4
87 47507 5 15 6 M 3
47 73110 0 27 12 F 4
117 43524 9 6 4 M 2
154 35480 5 9 4 F 2
125 35280 6 9 2 F 4
33 34987 6 9 2 F 4
156 39729 6 18 5 F 1
31 69246 3 22 10 M 4
95 32007 1 0 7 M 1
29 41889 16 22 7 M 1
146 32821 3 15 9 F 1
153 71811 2 25 12 M 4
65 44110 5 6 2 M 4
138 26745 3 1 2 F 4
28 51698 6 18 6 M 4
78 56318 19 6 8 M 4
142 58285 5 12 8 F 4
162 29888 0 2 3 F 2
90 31396 6 7 5 F 3
32 48695 19 6 8 M 4
74 59321 6 18 6 M 4
86 27612 6 0 2 F 2
93 65780 0 27 12 F 4
94 46477 3 20 4 M 4
109 36644 4 4 8 M 3
139 68873 0 27 12 F 4
13 36512 6 6 4 F 4
46 26452 3 1 2 F 4
88 37605 1 6 4 M 2
174 54870 3 20 6 F 3
92 34075 3 1 2 F 4
75 34881 16 22 7 M 1
41 47536 5 15 6 M 3
45 24749 2 6 0 F 1
23 46211 5 14 6 F 4
40 26578 6 0 2 F 2
166 55084 6 18 6 M 4
72 31977 7 18 9 M 1
71 44708 9 6 4 M 2
