ID Salary Experience Employed Education Gender Department
123 69539 3 22 10 M 4
76 31783 4 21 5 M 1
119 53300 0 25 6 M 3
111 36780 5 6 2 M 4
27 53234 0 25 6 M 3
61 76048 2 25 12 M 4
157 39873 5 6 2 M 4
90 31396 6 7 5 F 3
1 65487 0 27 12 F 4
160 38018 4 5 4 M 4
163 43686 9 6 4 M 2
176 44641 4 9 6 M 4
81 43254 4 6 4 M 4
87 47507 5 15 6 M 3
120 51991 6 18 6 M 4
136 31491 6 7 5 F 3
49 25774 1 0 7 M 1
107 68718 2 25 12 M 4
159 31429 11 3 3 M 1
51 42492 5 7 4 F 4
117 43524 9 6 4 M 2
169 72632 3 22 10 M 4
167 41790 16 22 7 M 1
106 35317 6 3 6 F 2
55 22540 6 5 1 M 1
124 48988 19 6 8 M 4
15 68425 2 25 12 M 4
64 32820 6 18 5 F 1
69 53834 5 14 6 F 4
10 34231 2 6 6 M 4
149 23845 0 0 0 F 3
96 55192 5 12 8 F 4
164 38886 7 18 9 M 1
177 36443 4 9 4 F 2
86 27612 6 0 2 F 2
172 28886 1 0 4 F 1
93 65780 0 27 12 F 4
31 69246 3 22 10 M 4
85 37465 4 9 4 F 2
70 30910 0 2 3 F 2
121 41114 16 22 7 M 1
92 34075 3 1 2 F 4
171 38373 6 9 2 F 4
179 47727 5 15 6 M 3
32 48695 19 6 8 M 4
181 56338 3 12 8 M 2
127 35924 4 6 4 M 4
37 39743 6 9 5 F 4
8 32920 3 15 9 F 1
170 52081 19 6 8 M 4
