ID Salary Experience Employed Education Gender Department
162 29888 0 2 3 F 2
12 39331 3 9 6 F 4
30 38791 4 21 5 M 1
18 39828 6 18 5 F 1
141 32683 1 0 7 M 1
150 42717 3 9 6 F 4
112 37614 9 19 4 M 3
157 39873 5 6 2 M 4
69 53834 5 14 6 F 4
174 54870 3 20 6 F 3
153 71811 2 25 12 M 4
177 36443 4 9 4 F 2
165 53425 0 25 6 M 3
51 42492 5 7 4 F 4
152 35479 6 3 6 F 2
67 24520 11 3 3 M 1
57 23625 0 0 0 F 3
91 17741 2 6 0 F 1
78 56318 19 6 8 M 4
144 38873 2 8 2 F 4
155 36769 4 4 8 M 3
2 46184 3 20 4 M 4
169 72632 3 22 10 M 4
159 31429 11 3 3 M 1
71 44708 9 6 4 M 2
184 29838 3 1 2 F 4
140 49570 3 20 4 M 4
160 38018 4 5 4 M 4
64 32820 6 18 5 F 1
145 29934 1 5 0 M 4
172 28886 1 0 4 F 1
178 26590 6 0 2 F 2
132 26428 6 0 2 F 2
122 38016 4 21 5 M 1
116 29726 0 2 3 F 2
130 41548 4 9 6 M 4
149 23845 0 0 0 F 3
35 35631 4 6 4 M 4
101 28773 6 5 1 M 1
60 36501 6 3 6 F 2
39 36431 4 9 4 F 2
147 29449 6 5 1 M 1
133 47602 5 15 6 M 3
161 49597 5 14 6 F 4
40 26578 6 0 2 F 2
88 37605 1 6 4 M 2
111 36780 5 6 2 M 4
97 35162 5 7 4 F 4
106 35317 6 3 6 F 2
8 32920 3 15 9 F 1
