ID Salary Experience Employed Education Gender Department
118 38210 7 18 9 M 1
175 43129 6 9 5 F 4
71 44708 9 6 4 M 2
164 38886 7 18 9 M 1
86 27612 6 0 2 F 2
161 49597 5 14 6 F 4
79 42610 6 9 2 F 4
15 68425 2 25 12 M 4
85 37465 4 9 4 F 2
113 30753 11 3 3 M 1
146 32821 3 15 9 F 1
2 46184 3 20 4 M 4
106 35317 6 3 6 F 2
7 26548 1 5 0 M 4
170 52081 19 6 8 M 4
128 54745 3 20 6 F 3
72 31977 7 18 9 M 1
174 54870 3 20 6 F 3
168 38692 4 21 5 M 1
17 36578 4 4 8 M 3
149 23845 0 0 0 F 3
150 42717 3 9 6 F 4
135 56176 3 12 8 M 2
100 32145 3 15 9 F 1
171 38373 6 9 2 F 4
84 48878 4 9 6 M 4
70 30910 0 2 3 F 2
18 39828 6 18 5 F 1
37 39743 6 9 5 F 4
117 43524 9 6 4 M 2
141 32683 1 0 7 M 1
101 28773 6 5 1 M 1
59 44135 6 6 4 F 4
55 22540 6 5 1 M 1
30 38791 4 21 5 M 1
87 47507 5 15 6 M 3
155 36769 4 4 8 M 3
74 59321 6 18 6 M 4
9 29548 6 5 1 M 1
98 35780 2 8 2 F 4
56 41854 2 6 6 M 4
95 32007 1 0 7 M 1
36 54679 3 20 6 F 3
115 46504 5 14 6 F 4
82 54650 3 20 6 F 3
140 49570 3 20 4 M 4
12 39331 3 9 6 F 4
50 62522 5 12 8 F 4
119 53300 0 25 6 M 3
127 35924 4 6 4 M 4
