ID Salary Experience Employed Education Gender Department
22 34632 4 5 4 M 4
102 34524 2 6 6 M 4
173 39017 4 6 4 M 4
92 34075 3 1 2 F 4
120 51991 6 18 6 M 4
65 44110 5 6 2 M 4
157 39873 5 6 2 M 4
101 28773 6 5 1 M 1
66 37519 9 19 4 M 3
149 23845 0 0 0 F 3
67 24520 11 3 3 M 1
64 32820 6 18 5 F 1
153 71811 2 25 12 M 4
98 35780 2 8 2 F 4
178 26590 6 0 2 F 2
2 46184 3 20 4 M 4
68 42255 4 5 4 M 4
33 34987 6 9 2 F 4
154 35480 5 9 4 F 2
162 29888 0 2 3 F 2
164 38886 7 18 9 M 1
29 41889 16 22 7 M 1
7 26548 1 5 0 M 4
34 28985 1 0 4 F 1
95 32007 1 0 7 M 1
4 54899 5 12 8 F 4
71 44708 9 6 4 M 2
59 44135 6 6 4 F 4
161 49597 5 14 6 F 4
179 47727 5 15 6 M 3
169 72632 3 22 10 M 4
82 54650 3 20 6 F 3
155 36769 4 4 8 M 3
13 36512 6 6 4 F 4
87 47507 5 15 6 M 3
166 55084 6 18 6 M 4
136 31491 6 7 5 F 3
177 36443 4 9 4 F 2
52 43110 2 8 2 F 4
148 37617 2 6 6 M 4
122 38016 4 21 5 M 1
57 23625 0 0 0 F 3
142 58285 5 12 8 F 4
135 56176 3 12 8 M 2
108 35318 5 9 4 F 2
131 36281 4 9 4 F 2
76 31783 4 21 5 M 1
56 41854 2 6 6 M 4
78 56318 19 6 8 M 4
23 46211 5 14 6 F 4
