ID Salary Experience Employed Education Gender Department
169 72632 3 22 10 M 4
3 32782 1 0 7 M 1
60 36501 6 3 6 F 2
67 24520 11 3 3 M 1
91 17741 2 6 0 F 1
156 39729 6 18 5 F 1
118 38210 7 18 9 M 1
142 58285 5 12 8 F 4
115 46504 5 14 6 F 4
41 47536 5 15 6 M 3
79 42610 6 9 2 F 4
155 36769 4 4 8 M 3
52 43110 2 8 2 F 4
18 39828 6 18 5 F 1
153 71811 2 25 12 M 4
168 38692 4 21 5 M 1
82 54650 3 20 6 F 3
133 47602 5 15 6 M 3
48 53807 3 20 4 M 4
145 29934 1 5 0 M 4
108 35318 5 9 4 F 2
68 42255 4 5 4 M 4
80 21977 1 0 4 F 1
162 29888 0 2 3 F 2
121 41114 16 22 7 M 1
86 27612 6 0 2 F 2
98 35780 2 8 2 F 4
44 31425 6 7 5 F 3
129 40036 6 9 5 F 4
76 31783 4 21 5 M 1
181 56338 3 12 8 M 2
130 41548 4 9 6 M 4
96 55192 5 12 8 F 4
180 36583 1 6 4 M 2
126 28210 1 0 4 F 1
8 32920 3 15 9 F 1
100 32145 3 15 9 F 1
81 43254 4 6 4 M 4
140 49570 3 20 4 M 4
139 68873 0 27 12 F 4
160 38018 4 5 4 M 4
61 76048 2 25 12 M 4
31 69246 3 22 10 M 4
51 42492 5 7 4 F 4
6 35487 2 8 2 F 4
55 22540 6 5 1 M 1
87 47507 5 15 6 M 3
175 43129 6 9 5 F 4
49 25774 1 0 7 M 1
37 39743 6 9 5 F 4
