ID Salary Experience Employed Education Gender Department
143 38255 5 7 4 F 4
69 53834 5 14 6 F 4
114 34925 4 5 4 M 4
156 39729 6 18 5 F 1
46 26452 3 1 2 F 4
93 65780 0 27 12 F 4
11 23654 0 0 0 F 3
166 55084 6 18 6 M 4
73 53205 0 25 6 M 3
77 76869 3 22 10 M 4
142 58285 5 12 8 F 4
81 43254 4 6 4 M 4
62 36502 5 9 4 F 2
115 46504 5 14 6 F 4
158 37739 9 19 4 M 3
82 54650 3 20 6 F 3
178 26590 6 0 2 F 2
118 38210 7 18 9 M 1
134 36421 1 6 4 M 2
123 69539 3 22 10 M 4
9 29548 6 5 1 M 1
167 41790 16 22 7 M 1
132 26428 6 0 2 F 2
122 38016 4 21 5 M 1
101 28773 6 5 1 M 1
171 38373 6 9 2 F 4
155 36769 4 4 8 M 3
45 24749 2 6 0 F 1
176 44641 4 9 6 M 4
70 30910 0 2 3 F 2
148 37617 2 6 6 M 4
151 39898 6 6 4 F 4
13 36512 6 6 4 F 4
38 41255 4 9 6 M 4
102 34524 2 6 6 M 4
29 41889 16 22 7 M 1
164 38886 7 18 9 M 1
172 28886 1 0 4 F 1
63 36549 4 4 8 M 3
91 17741 2 6 0 F 1
110 39053 6 18 5 F 1
162 29888 0 2 3 F 2
5 34869 5 7 4 F 4
89 57360 3 12 8 M 2
2 46184 3 20 4 M 4
20 37548 9 19 4 M 3
120 51991 6 18 6 M 4
30 38791 4 21 5 M 1
153 71811 2 25 12 M 4
76 31783 4 21 5 M 1
