ID Salary Experience Employed Education Gender Department
25 43674 9 6 4 M 2
143 38255 5 7 4 F 4
151 39898 6 6 4 F 4
91 17741 2 6 0 F 1
88 37605 1 6 4 M 2
144 38873 2 8 2 F 4
80 21977 1 0 4 F 1
172 28886 1 0 4 F 1
17 36578 4 4 8 M 3
54 25912 3 15 9 F 1
42 36571 1 6 4 M 2
72 31977 7 18 9 M 1
113 30753 11 3 3 M 1
45 24749 2 6 0 F 1
132 26428 6 0 2 F 2
69 53834 5 14 6 F 4
29 41889 16 22 7 M 1
36 54679 3 20 6 F 3
178 26590 6 0 2 F 2
125 35280 6 9 2 F 4
163 43686 9 6 4 M 2
47 73110 0 27 12 F 4
111 36780 5 6 2 M 4
27 53234 0 25 6 M 3
6 35487 2 8 2 F 4
89 57360 3 12 8 M 2
142 58285 5 12 8 F 4
166 55084 6 18 6 M 4
154 35480 5 9 4 F 2
117 43524 9 6 4 M 2
7 26548 1 5 0 M 4
10 34231 2 6 6 M 4
135 56176 3 12 8 M 2
67 24520 11 3 3 M 1
33 34987 6 9 2 F 4
173 39017 4 6 4 M 4
73 53205 0 25 6 M 3
119 53300 0 25 6 M 3
159 31429 11 3 3 M 1
68 42255 4 5 4 M 4
85 37465 4 9 4 F 2
99 26841 1 5 0 M 4
58 46954 3 9 6 F 4
28 51698 6 18 6 M 4
175 43129 6 9 5 F 4
158 37739 9 19 4 M 3
5 34869 5 7 4 F 4
180 36583 1 6 4 M 2
24 29876 0 2 3 F 2
16 35468 5 9 4 F 2
